gsc_submit_order,gsc_week,gsc_tier,submit_method,article_id,slug,url,target_keyword,keyword_priority,buyer_stage,pillar_num,filter_category,priority_score,gsc_notes,gsc_submitted,indexed_status,indexed_date
12,W2,T1,manual_inspection,039,infinisynapse-vs-databricks-genie,/blog/infinisynapse-vs-databricks-genie,databricks genie,P1,BOFU,3,comparisons,162,P1 · 手动提交,,,
13,W2,T1,manual_inspection,014,code-agent-vs-data-agent,/blog/code-agent-vs-data-agent,code interpreter data analysis,SHIPPED,MOFU,2,comparisons,150,Hub · 全量上线后优先重抓,,,
14,W2,T1,manual_inspection,046,connect-mysql-to-ai-data-analyst,/blog/connect-mysql-to-ai-data-analyst,connect mysql to ai data analyst,P0,BOFU,4,connectors,143,P0 BOFU · 手动提交,,,
15,W2,T1,manual_inspection,069,clean-excel-data-with-ai,/blog/clean-excel-data-with-ai,ai to clean excel data,SHIPPED,MOFU,6,excel_csv,142,Hub · 全量上线后优先重抓,,,
16,W2,T1,manual_inspection,059,natural-language-to-sql,/blog/natural-language-to-sql,integrate natural language data analysis with sql and python,SHIPPED,MOFU,5,nl2sql,138,Hub · 全量上线后优先重抓,,,
17,W3,T2,manual_inspection,052,ai-data-analysis-csv-files,/blog/ai-data-analysis-csv-files,ai data analysis for csv files,P0,BOFU,4,connectors,137,P0 BOFU · 手动提交,,,
18,W3,T2,manual_inspection,010,fabric-data-agent-vs-copilot,/blog/fabric-data-agent-vs-copilot,data agent vs ai copilot,P0,MOFU,1,comparisons,135,P0 · 手动提交,,,
19,W3,T2,manual_inspection,016,ai-data-analyst-vs-bi-tools,/blog/ai-data-analyst-vs-bi-tools,ai data analyst vs bi tools,P0,MOFU,2,comparisons,135,P0 · 手动提交,,,
20,W3,T2,manual_inspection,017,data-agent-vs-llm-chatbot,/blog/data-agent-vs-llm-chatbot,data agent vs llm chatbot,P0,MOFU,2,comparisons,135,P0 · 手动提交,,,
21,W3,T2,manual_inspection,062,ai-sql-generator,/blog/ai-sql-generator,ai sql generator,P0,MOFU,5,nl2sql,133,P0 · 手动提交,,,
22,W3,T2,manual_inspection,025,ai-data-analysis-tools,/blog/ai-data-analysis-tools,best ai data analyst tools 2026,P0,MOFU,3,tools_reviews,129,P0 · 手动提交,,,
23,W3,T2,manual_inspection,026,sql-data-analysis-tools,/blog/sql-data-analysis-tools,best ai tools for sql data analysis,P0,MOFU,3,tools_reviews,129,P0 · 手动提交,,,
24,W3,T2,manual_inspection,027,ai-excel-data-analysis-tools,/blog/ai-excel-data-analysis-tools,best ai tools for excel data analysis,P0,MOFU,3,tools_reviews,129,P0 · 手动提交,,,
25,W4,T2,manual_inspection,081,ai-tools-for-data-analysts,/blog/ai-tools-for-data-analysts,ai tools for data analysts,P0,MOFU,7,use_cases,129,P0 · 手动提交,,,
26,W4,T2,manual_inspection,001,ai-for-data-analysis,/blog/ai-for-data-analysis,ai for data analysis,SHIPPED,TOFU,1,knowledge,128,Hub · 全量上线后优先重抓,,,
27,W4,T2,manual_inspection,072,ai-excel-formula-generator,/blog/ai-excel-formula-generator,ai excel formula generator,P0,MOFU,6,excel_csv,127,P0 · 手动提交,,,
28,W4,T2,manual_inspection,073,analyze-csv-with-ai,/blog/analyze-csv-with-ai,analyze csv with ai,P0,MOFU,6,excel_csv,127,P0 · 手动提交,,,
29,W4,T2,manual_inspection,015,data-agent-architecture,/blog/data-agent-architecture,data agent architecture,P0,MOFU,2,knowledge,123,P0 · 手动提交,,,
30,W4,T2,manual_inspection,018,chatgpt-data-analysis-limitations,/blog/chatgpt-data-analysis-limitations,chatgpt for data analysis limitations,P0,MOFU,2,knowledge,123,P0 · 手动提交,,,
31,W4,T2,manual_inspection,032,thoughtspot-alternatives,/blog/thoughtspot-alternatives,best ai data visualization tools,P1,BOFU,3,comparisons,123,P1 · 手动提交,,,
32,W4,T2,manual_inspection,033,databricks-genie-alternatives,/blog/databricks-genie-alternatives,databricks assistant vs genie,P1,BOFU,3,comparisons,123,P1 · 手动提交,,,
33,W5,T3,manual_inspection,034,tableau-pulse-alternatives,/blog/tableau-pulse-alternatives,best ai data visualization tools,P1,BOFU,3,comparisons,123,P1 · 手动提交,,,
34,W5,T3,manual_inspection,060,text-to-sql-llm,/blog/text-to-sql-llm,text to sql llm,P0,MOFU,5,nl2sql,123,P0 · 手动提交,,,
35,W5,T3,manual_inspection,061,nl2sql-benchmark-spider-bird,/blog/nl2sql-benchmark-spider-bird,nl2sql benchmark spider bird,P0,MOFU,5,nl2sql,123,P0 · 手动提交,,,
36,W5,T3,manual_inspection,070,ai-alternative-to-pivot-table,/blog/ai-alternative-to-pivot-table,ai alternative to pivot table,P0,MOFU,6,excel_csv,123,P0 · 手动提交,,,
37,W5,T3,manual_inspection,071,ai-vlookup-replacement,/blog/ai-vlookup-replacement,ai vlookup replacement,P0,MOFU,6,excel_csv,123,P0 · 手动提交,,,
38,W5,T3,manual_inspection,098,how-to-evaluate-ai-data-analyst,/blog/how-to-evaluate-ai-data-analyst,how to evaluate ai data analyst,P0,MOFU,8,tools_reviews,123,P0 · 手动提交,,,
39,W5,T3,manual_inspection,082,ai-data-analysis-product-managers,/blog/ai-data-analysis-product-managers,ai data analysis for product managers,P0,MOFU,7,use_cases,121,P0 · 手动提交,,,
40,W5,T3,manual_inspection,083,ai-data-analysis-finance-teams,/blog/ai-data-analysis-finance-teams,ai data analysis for finance teams,P0,MOFU,7,use_cases,121,P0 · 手动提交,,,
41,W6,T3,manual_inspection,084,ai-data-analysis-marketing,/blog/ai-data-analysis-marketing,ai data analysis for marketing,P0,MOFU,7,use_cases,121,P0 · 手动提交,,,
42,W6,T3,manual_inspection,089,ai-data-analysis-ecommerce,/blog/ai-data-analysis-ecommerce,ai data analysis for ecommerce,P0,MOFU,7,use_cases,121,P0 · 手动提交,,,
43,W6,T3,manual_inspection,090,ai-data-analysis-saas,/blog/ai-data-analysis-saas,ai data analysis for saas,P0,MOFU,7,use_cases,121,P0 · 手动提交,,,
44,W6,T3,manual_inspection,005,best-agentic-analytics,/blog/best-agentic-analytics,agentic analytics,P0,TOFU,1,tools_reviews,119,P0 · 手动提交,,,
45,W6,T3,manual_inspection,003,what-is-a-data-agent,/blog/what-is-a-data-agent,what is a data agent,P0,TOFU,1,knowledge,115,P0 · 手动提交,,,
46,W6,T3,manual_inspection,021,ai-data-analyst-vs-human-analyst,/blog/ai-data-analyst-vs-human-analyst,ai data analyst vs human analyst,P0,TOFU,2,knowledge,113,P0 · 手动提交,,,
47,W6,T3,manual_inspection,049,connect-databricks-to-ai-analyst,/blog/connect-databricks-to-ai-analyst,databricks data analytics platform,P1,BOFU,4,connectors,113,P1 · 手动提交,,,
48,W6,T3,manual_inspection,050,connect-mongodb-to-ai-data-analyst,/blog/connect-mongodb-to-ai-data-analyst,ai database agent for data visualization,P1,BOFU,4,connectors,113,P1 · 手动提交,,,
49,W7,T3,manual_inspection,055,connect-clickhouse-to-ai-analyst,/blog/connect-clickhouse-to-ai-analyst,sql for data analysis,P1,BOFU,4,connectors,113,P1 · 手动提交,,,
50,W7,T3,manual_inspection,056,connect-redshift-to-ai-data-analyst,/blog/connect-redshift-to-ai-data-analyst,data integration platforms supporting snowflake bigquery redshift,P1,BOFU,4,connectors,113,P1 · 手动提交,,,
51,W7,T3,manual_inspection,002,data-agent-manifesto,/blog/data-agent-manifesto,data agent manifesto,P0,TOFU,1,deep_dive,110,P0 · 手动提交,,,
52,W7,T3,manual_inspection,004,ai-native-data-platform,/blog/ai-native-data-platform,ai-native data platform,P0,TOFU,1,knowledge,110,P0 · 手动提交,,,
53,W7,T3,manual_inspection,007,ai-data-analyst,/blog/ai-data-analyst,ai data analyst,P0,TOFU,1,knowledge,110,P0 · 手动提交,,,
54,W7,T3,manual_inspection,095,ai-data-analysis-prompts,/blog/ai-data-analysis-prompts,ai data analysis prompts,P0,TOFU,8,knowledge,110,P0 · 手动提交,,,
55,W7,T3,manual_inspection,053,ai-data-analysis-airtable,/blog/ai-data-analysis-airtable,airtable data analysis,P1,BOFU,4,connectors,107,P1 · 手动提交,,,
56,W7,T3,manual_inspection,019,code-interpreter-vs-data-agent,/blog/code-interpreter-vs-data-agent,code interpreter data analysis,P1,MOFU,2,comparisons,105,P1 · 手动提交,,,
57,W8,T3,manual_inspection,020,databricks-genie-vs-data-agent,/blog/databricks-genie-vs-data-agent,databricks assistant vs genie,P1,MOFU,2,comparisons,105,P1 · 手动提交,,,
58,W8,T3,manual_inspection,040,julius-ai-vs-chatgpt,/blog/julius-ai-vs-chatgpt,julius ai data analysis,P1,MOFU,3,comparisons,105,P1 · 手动提交,,,
59,W8,T3,manual_inspection,066,sql-agent-vs-text-to-sql,/blog/sql-agent-vs-text-to-sql,text to sql agent for data visualization,P1,MOFU,5,nl2sql,105,P1 · 手动提交,,,
60,W8,T3,manual_inspection,078,ai-financial-modeling-excel,/blog/ai-financial-modeling-excel,microsoft excel data analysis and business modeling,P1,BOFU,6,excel_csv,103,P1 · 手动提交,,,
61,W8,T3,manual_inspection,087,ai-data-strategy-cto,/blog/ai-data-strategy-cto,ai-powered semantic layers for enterprise data strategy,P1,BOFU,7,use_cases,103,P1 · 手动提交,,,
62,W8,T3,manual_inspection,057,analyze-stripe-data-with-ai,/blog/analyze-stripe-data-with-ai,financial services data analysis,P1,BOFU,4,connectors,101,P1 · 手动提交,,,
63,W8,T3,manual_inspection,058,analyze-shopify-data-with-ai,/blog/analyze-shopify-data-with-ai,ecommerce data analysis,P1,BOFU,4,connectors,101,P1 · 手动提交,,,
64,W8,T3,manual_inspection,091,ai-data-analysis-financial-services,/blog/ai-data-analysis-financial-services,financial services data analysis,P1,BOFU,7,use_cases,101,P1 · 手动提交,,,
65,W9,T4,manual_inspection,092,ai-data-analysis-supply-chain,/blog/ai-data-analysis-supply-chain,data science in supply chain,P1,BOFU,7,use_cases,101,P1 · 手动提交,,,
66,W9,T4,manual_inspection,029,self-hosted-ai-data-analyst,/blog/self-hosted-ai-data-analyst,agentic data plane hosted vs self-hosted comparison,P1,BOFU,3,deep_dive,100,P1 · 手动提交,,,
67,W9,T4,manual_inspection,028,ai-data-visualization-tools,/blog/ai-data-visualization-tools,best ai data visualization tools,P1,MOFU,3,tools_reviews,99,P1 · 手动提交,,,
68,W9,T4,manual_inspection,080,ai-data-wrangling-tools,/blog/ai-data-wrangling-tools,data wrangling platform,P1,MOFU,6,excel_csv,99,P1 · 手动提交,,,
69,W9,T4,manual_inspection,074,merge-multiple-csv-with-ai,/blog/merge-multiple-csv-with-ai,csv files for data analysis,P1,MOFU,6,excel_csv,97,P1 · 手动提交,,,
70,W9,T4,manual_inspection,075,deduplicate-data-with-ai,/blog/deduplicate-data-with-ai,ai-powered crm data cleaning deduplication platforms,P1,MOFU,6,excel_csv,97,P1 · 手动提交,,,
71,W9,T4,manual_inspection,077,ai-excel-chart-generator,/blog/ai-excel-chart-generator,ai data chart generator,P1,MOFU,6,excel_csv,97,P1 · 手动提交,,,
72,W9,T4,manual_inspection,011,ai-native-vs-augmented-analytics,/blog/ai-native-vs-augmented-analytics,ai-native data platform,P1,TOFU,1,comparisons,95,P1 · 手动提交,,,
73,W10,T4,manual_inspection,012,ai-data-analysis,/blog/ai-data-analysis,ai data analysis,P1,MOFU,1,knowledge,93,P1 · 手动提交,,,
74,W10,T4,manual_inspection,022,governance-for-ai-data-analysis,/blog/governance-for-ai-data-analysis,ai data governance,P1,MOFU,2,knowledge,93,P1 · 手动提交,,,
75,W10,T4,manual_inspection,036,code-interpreter-alternatives,/blog/code-interpreter-alternatives,code interpreter data analysis,P2,BOFU,3,comparisons,93,手动提交,,,
76,W10,T4,manual_inspection,042,infinisynapse-vs-tableau,/blog/infinisynapse-vs-tableau,tableau vs power bi for data analysis,P2,BOFU,3,comparisons,93,手动提交,,,
77,W10,T4,manual_inspection,063,llm-sql-generation-architecture,/blog/llm-sql-generation-architecture,ai-assisted query generation sql python social science data analysis,P1,MOFU,5,nl2sql,93,P1 · 手动提交,,,
78,W10,T4,manual_inspection,064,sql-rag-vs-semantic-layer,/blog/sql-rag-vs-semantic-layer,ai-powered semantic layers for enterprise data strategy,P1,MOFU,5,nl2sql,93,P1 · 手动提交,,,
79,W10,T4,manual_inspection,065,text-to-sql-fine-tuning,/blog/text-to-sql-fine-tuning,generative ai data services for fine tuning,P1,MOFU,5,nl2sql,93,P1 · 手动提交,,,
80,W10,T4,manual_inspection,076,ai-data-cleaning-techniques,/blog/ai-data-cleaning-techniques,ai data cleaning techniques,P1,MOFU,6,excel_csv,93,P1 · 手动提交,,,
81,W11,T4,manual_inspection,086,ai-for-data-engineers,/blog/ai-for-data-engineers,ai for data engineers,P1,MOFU,7,use_cases,93,P1 · 手动提交,,,
82,W11,T4,manual_inspection,085,ai-data-analysis-operations,/blog/ai-data-analysis-operations,ai in data center operations,P1,MOFU,7,use_cases,91,P1 · 手动提交,,,
83,W11,T4,manual_inspection,006,autonomous-data-agent,/blog/autonomous-data-agent,autonomous data agent,P1,TOFU,1,knowledge,85,P1 · 手动提交,,,
84,W11,T4,manual_inspection,035,perplexity-data-analysis-alternatives,/blog/perplexity-data-analysis-alternatives,alternatives to chatgpt for data analysis,P2,MOFU,3,comparisons,83,手动提交,,,
85,W11,T4,manual_inspection,097,ai-data-analyst-skills,/blog/ai-data-analyst-skills,ai data analyst skills,P1,TOFU,8,knowledge,83,P1 · 手动提交,,,
86,W11,T4,manual_inspection,008,ai-data-analyst-job-description,/blog/ai-data-analyst-job-description,ai data analyst job description,P1,TOFU,1,knowledge,80,P1 · 手动提交,,,
87,W11,T4,manual_inspection,009,data-agent-memory,/blog/data-agent-memory,data agent,P1,TOFU,1,deep_dive,80,P1 · 手动提交,,,
88,W11,T4,manual_inspection,096,data-analysis-prompt-template,/blog/data-analysis-prompt-template,data analysis template,P1,TOFU,8,knowledge,80,P1 · 手动提交,,,
89,W12,T4,sitemap_crawl_primary,054,ai-analysis-notion-database,/blog/ai-analysis-notion-database,ai database agent for data visualization,P2,BOFU,4,connectors,77,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
90,W12,T4,sitemap_crawl_primary,079,excel-monthly-report-automation-ai,/blog/excel-monthly-report-automation-ai,data analysis report template excel,P2,BOFU,6,excel_csv,77,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
91,W12,T4,sitemap_crawl_primary,023,ai-data-analyst-vs-traditional-bi-analyst,/blog/ai-data-analyst-vs-traditional-bi-analyst,business intelligence vs data science,P2,MOFU,2,comparisons,75,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
92,W12,T4,sitemap_crawl_primary,041,thoughtspot-vs-databricks-genie,/blog/thoughtspot-vs-databricks-genie,databricks genie,P2,MOFU,3,comparisons,75,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
93,W12,T4,sitemap_crawl_primary,093,ai-data-analysis-healthcare,/blog/ai-data-analysis-healthcare,ai data analysis healthcare,P2,BOFU,7,use_cases,71,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
94,W12,T4,sitemap_crawl_primary,094,ai-data-analysis-logistics,/blog/ai-data-analysis-logistics,data analysis in logistics,P2,BOFU,7,use_cases,71,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
95,W12,T4,sitemap_crawl_primary,067,nl2sql-production-failure-modes,/blog/nl2sql-production-failure-modes,databricks genie natural language to sql,P2,MOFU,5,nl2sql,63,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
96,W12,T4,sitemap_crawl_primary,068,dialect-aware-sql-generation,/blog/dialect-aware-sql-generation,ai-assisted query generation sql python social science data analysis,P2,MOFU,5,nl2sql,63,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
97,W13,T4,sitemap_crawl_primary,088,ai-data-analysis-founders,/blog/ai-data-analysis-founders,best ai tools for data analysis,P2,MOFU,7,use_cases,61,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
98,W13,T4,sitemap_crawl_primary,013,data-agent-glossary,/blog/data-agent-glossary,what is a data agent,P2,TOFU,1,knowledge,50,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
99,W13,T4,sitemap_crawl_primary,099,ai-analytics-glossary,/blog/ai-analytics-glossary,data analysis glossary,P2,TOFU,8,knowledge,50,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
100,W13,T4,sitemap_crawl_primary,100,data-agent-faq,/blog/data-agent-faq,what is a data agent,P2,TOFU,8,knowledge,50,长尾 · 可依赖 sitemap 自然抓取，有余量再手动,,,
