order_id,user_id,order_time,sku,product_name,quantity,unit_price,total_amount,city,region
SH202605035,U1034,2026-05-17 09:33:52,LXH-002,香薰蜡烛三件套,2,199,398,广州,广州天河区
SH202605036,U1005,2026-05-17 14:22:08,LXH-004,编织收纳篮,4,89,356,北京,北京朝阳区
SH202605037,U1017,2026-05-18 11:14:36,LXH-005,羊毛抱枕,2,159,318,杭州,杭州西湖区
SH202605038,U1006,2026-05-18 16:51:25,LXH-008,亚麻窗帘,1,599,599,杭州,杭州西湖区
SH202605039,U1035,2026-05-19 10:28:43,LXH-001,棉麻床品四件套,1,799,799,广州,广州天河区
SH202605040,U1012,2026-05-19 15:09:21,LXH-003,玻璃花瓶,1,149,149,北京,北京朝阳区
SH202605041,U1018,2026-05-20 09:46:54,LXH-006,陶瓷餐具组,2,399,798,杭州,杭州西湖区
SH202605042,U1007,2026-05-20 14:33:18,LXH-002,香薰蜡烛三件套,1,199,199,上海,上海浦东新区
SH202605043,U1036,2026-05-21 10:55:32,LXH-001,棉麻床品四件套,1,799,799,上海,上海浦东新区
SH202605044,U1013,2026-05-21 15:21:46,LXH-008,亚麻窗帘,1,599,599,北京,北京朝阳区
SH202605045,U1019,2026-05-22 09:38:09,LXH-002,香薰蜡烛三件套,3,199,597,杭州,杭州西湖区
SH202605046,U1008,2026-05-22 14:42:25,LXH-007,黄铜烛台,1,259,259,上海,上海浦东新区
SH202605047,U1037,2026-05-23 11:13:48,LXH-006,陶瓷餐具组,1,399,399,北京,北京朝阳区
SH202605048,U1014,2026-05-23 15:55:33,LXH-005,羊毛抱枕,1,159,159,北京,北京朝阳区
SH202605049,U1020,2026-05-24 09:27:11,LXH-004,编织收纳篮,3,89,267,杭州,杭州西湖区
SH202605050,U1001,2026-05-24 14:08:58,LXH-005,羊毛抱枕,1,159,159,上海,上海浦东新区
SH202605051,U1009,2026-05-25 10:36:22,LXH-001,棉麻床品四件套,1,799,799,杭州,杭州西湖区
SH202605052,U1015,2026-05-25 15:14:47,LXH-007,黄铜烛台,1,259,259,杭州,杭州西湖区
SH202605053,U1010,2026-05-26 09:51:33,LXH-003,玻璃花瓶,2,149,298,上海,上海浦东新区
SH202605054,U1038,2026-05-26 14:23:18,LXH-002,香薰蜡烛三件套,1,199,199,北京,北京朝阳区
SH202605055,U1002,2026-05-27 10:42:55,LXH-006,陶瓷餐具组,1,399,399,北京,北京朝阳区
SH202605056,U1011,2026-05-27 15:17:29,LXH-004,编织收纳篮,2,89,178,上海,上海浦东新区
SH202605057,U1003,2026-05-28 09:34:11,LXH-002,香薰蜡烛三件套,2,199,398,杭州,杭州西湖区
SH202605058,U1004,2026-05-28 14:08:42,LXH-005,羊毛抱枕,1,159,159,上海,上海浦东新区
SH202605059,U1006,2026-05-29 10:25:36,LXH-007,黄铜烛台,1,259,259,杭州,杭州西湖区
SH202605060,U1012,2026-05-29 15:11:08,LXH-001,棉麻床品四件套,1,799,799,北京,北京朝阳区
SH202605061,U1005,2026-05-29 18:46:23,LXH-002,香薰蜡烛三件套,1,199,199,北京,北京朝阳区
SH202605062,U1016,2026-05-30 10:19:54,LXH-003,玻璃花瓶,1,149,149,杭州,杭州西湖区
SH202605063,U1007,2026-05-30 14:52:31,LXH-008,亚麻窗帘,1,599,599,上海,上海浦东新区
SH202605064,U1017,2026-05-30 17:33:09,LXH-002,香薰蜡烛三件套,2,199,398,杭州,杭州西湖区
SH202605065,U1013,2026-05-31 09:48:42,LXH-004,编织收纳篮,2,89,178,北京,北京朝阳区
SH202605066,U1008,2026-05-31 13:21:27,LXH-006,陶瓷餐具组,1,399,399,上海,上海浦东新区
SH202605067,U1018,2026-05-31 16:05:54,LXH-005,羊毛抱枕,1,159,159,杭州,杭州西湖区
SH202605068,U1014,2026-05-31 19:28:18,LXH-007,黄铜烛台,1,259,259,北京,北京朝阳区
