deploy_order,week,phase,batch_label,keyword_priority,deploy_action,article_id,slug,url,title,target_keyword,pillar_num,pillar_name,content_type,source_path,handoff_path,deploy_bundle,post_deploy_checklist,depends_on_slugs,notes,deploy_status,deployed_date,gsc_submitted
11,Q2,Q2,—,P0,backlog,017,data-agent-vs-llm-chatbot,/blog/data-agent-vs-llm-chatbot,Data Agent vs LLM Chatbot: When Conversational AI Is Not Enough (2026),data agent vs llm chatbot,2,Data Agent vs Alternatives,versus,SEO/Blog/pillar2-data-agent-vs-alternatives/017-data-agent-vs-llm-chatbot,SEO/Blog/frontend-handoff/content/pillar2-data-agent-vs-alternatives/017-data-agent-vs-llm-chatbot,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
12,W7,Phase2,7-B,P0,new_publish,018,chatgpt-data-analysis-limitations,/blog/chatgpt-data-analysis-limitations,ChatGPT for Data Analysis Limitations: What Breaks at Enterprise Scale (2026),chatgpt for data analysis limitations,2,Data Agent vs Alternatives,thought-leadership,SEO/Blog/pillar2-data-agent-vs-alternatives/018-chatgpt-data-analysis-limitations,SEO/Blog/frontend-handoff/content/pillar2-data-agent-vs-alternatives/018-chatgpt-data-analysis-limitations,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,,,,
13,Q2,Q2,—,P1,backlog,020,databricks-genie-vs-data-agent,/blog/databricks-genie-vs-data-agent,Databricks Assistant vs Genie vs Data Agent: A 2026 Buyer Guide,databricks assistant vs genie,2,Data Agent vs Alternatives,versus,SEO/Blog/pillar2-data-agent-vs-alternatives/020-databricks-genie-vs-data-agent,SEO/Blog/frontend-handoff/content/pillar2-data-agent-vs-alternatives/020-databricks-genie-vs-data-agent,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
14,Q2,Q2,—,P0,backlog,021,ai-data-analyst-vs-human-analyst,/blog/ai-data-analyst-vs-human-analyst,"AI Data Analyst vs Human Analyst: Roles, ROI, and Handoff in 2026",ai data analyst vs human analyst,2,Data Agent vs Alternatives,guide,SEO/Blog/pillar2-data-agent-vs-alternatives/021-ai-data-analyst-vs-human-analyst,SEO/Blog/frontend-handoff/content/pillar2-data-agent-vs-alternatives/021-ai-data-analyst-vs-human-analyst,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
15,W10,Phase3,10-C,SHIPPED,content_refresh,024,best-ai-tools-for-data-analysis,/blog/best-ai-tools-for-data-analysis,Best AI Tools for Data Analysis in 2026,best ai tools for data analysis,3,AI Analyst Tools,listicle,SEO/Blog/pillar3-ai-analyst-tools/024-best-ai-tools-for-data-analysis,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/024-best-ai-tools-for-data-analysis,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;update_existing_route;gsc_request_indexing;verify_faq_rich_results,,P3 Hub 已上线；W10 互链更新,,,
16,W7,Phase2,7-A,P0,new_publish,025,ai-data-analysis-tools,/blog/ai-data-analysis-tools,Best AI Data Analyst Tools 2026: 10 Options for Analyst Teams,best ai data analyst tools 2026,3,AI Analyst Tools,listicle,SEO/Blog/pillar3-ai-analyst-tools/025-ai-data-analysis-tools,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/025-ai-data-analysis-tools,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,,,,
17,Q2,Q2,—,P0,backlog,026,sql-data-analysis-tools,/blog/sql-data-analysis-tools,Best AI Tools for SQL Data Analysis: 2026 Team Guide,best ai tools for sql data analysis,3,AI Analyst Tools,listicle,SEO/Blog/pillar3-ai-analyst-tools/026-sql-data-analysis-tools,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/026-sql-data-analysis-tools,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
18,Q2,Q2,—,P0,backlog,027,ai-excel-data-analysis-tools,/blog/ai-excel-data-analysis-tools,Best AI Tools for Excel Data Analysis in 2026,best ai tools for excel data analysis,3,AI Analyst Tools,listicle,SEO/Blog/pillar3-ai-analyst-tools/027-ai-excel-data-analysis-tools,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/027-ai-excel-data-analysis-tools,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
19,W3,Phase1,3-B,P0,new_publish,030,chatgpt-data-analysis-alternatives,/blog/chatgpt-data-analysis-alternatives,ChatGPT for Data Analysis Alternatives: 7 Tools Compared (2026),chatgpt for data analysis alternatives,3,AI Analyst Tools,alternatives,SEO/Blog/pillar3-ai-analyst-tools/030-chatgpt-data-analysis-alternatives,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/030-chatgpt-data-analysis-alternatives,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,,,,
20,W1,Phase1,1-B,P0,new_publish,031,julius-ai-alternatives,/blog/julius-ai-alternatives,Julius AI Alternatives: Best Options for Data Analysis Teams (2026),julius ai alternatives,3,AI Analyst Tools,alternatives,SEO/Blog/pillar3-ai-analyst-tools/031-julius-ai-alternatives,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/031-julius-ai-alternatives,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,infinisynapse-vs-julius-ai,与 1-A 互链,,,
21,W4,Phase1,4-A,P1,new_publish,032,thoughtspot-alternatives,/blog/thoughtspot-alternatives,ThoughtSpot Alternatives: Best AI Data Visualization Tools in 2026,best ai data visualization tools,3,AI Analyst Tools,alternatives,SEO/Blog/pillar3-ai-analyst-tools/032-thoughtspot-alternatives,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/032-thoughtspot-alternatives,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;sitemap_resubmit_gsc;gsc_request_indexing;verify_faq_rich_results,,Phase1 收官,,,
22,W8,Phase2,8-A,P1,new_publish,033,databricks-genie-alternatives,/blog/databricks-genie-alternatives,Databricks Assistant vs Genie: 6 Alternatives for Lakehouse Teams (2026),databricks assistant vs genie,3,AI Analyst Tools,alternatives,SEO/Blog/pillar3-ai-analyst-tools/033-databricks-genie-alternatives,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/033-databricks-genie-alternatives,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;audit_title_meta_site_wide;gsc_request_indexing;verify_faq_rich_results,infinisynapse-vs-databricks-genie;databricks-genie-vs-data-agent,Genie 集群内链,,,
23,W1,Phase1,1-A,P0,new_publish,037,infinisynapse-vs-julius-ai,/blog/infinisynapse-vs-julius-ai,InfiniSynapse vs Julius AI: Data Analysis Comparison for Teams (2026),infinisynapse vs julius ai,3,AI Analyst Tools,versus,SEO/Blog/pillar3-ai-analyst-tools/037-infinisynapse-vs-julius-ai,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/037-infinisynapse-vs-julius-ai,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,BOFU 对比 · W1 首发,,,
24,W3,Phase1,3-A,P0,new_publish,038,infinisynapse-vs-chatgpt,/blog/infinisynapse-vs-chatgpt,InfiniSynapse vs ChatGPT Data Analysis: Which Workflow Wins in 2026?,infinisynapse vs chatgpt data analysis,3,AI Analyst Tools,versus,SEO/Blog/pillar3-ai-analyst-tools/038-infinisynapse-vs-chatgpt,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/038-infinisynapse-vs-chatgpt,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,infinisynapse-vs-julius-ai;julius-ai-alternatives,,,,
25,W2,Phase1,2-A,P1,new_publish,039,infinisynapse-vs-databricks-genie,/blog/infinisynapse-vs-databricks-genie,InfiniSynapse vs Databricks Genie: Lakehouse AI Comparison for 2026,databricks genie,3,AI Analyst Tools,versus,SEO/Blog/pillar3-ai-analyst-tools/039-infinisynapse-vs-databricks-genie,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/039-infinisynapse-vs-databricks-genie,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,Genie 集群起点,,,
26,W8,Phase2,8-B,P0,new_publish,043,infinisynapse-review,/blog/infinisynapse-review,"InfiniSynapse Review (2026): Honest Scorecard, Pros, Cons, and Buyer Fit",infinisynapse review,3,AI Analyst Tools,review,SEO/Blog/pillar3-ai-analyst-tools/043-infinisynapse-review,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/043-infinisynapse-review,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;audit_title_meta_site_wide;gsc_request_indexing;verify_faq_rich_results,,W8 全站 meta 复查,,,
27,pre,—,—,SHIPPED,hub_already_live,044,connect-supabase-to-ai-data-analyst,/blog/connect-supabase-to-ai-data-analyst,SQL for Data Analysis: Supabase to an AI Data Analyst in 2026,connect supabase to ai data analyst,4,Data Source Connectors,how-to,SEO/Blog/pillar4-data-source-connectors/044-connect-supabase-to-ai-data-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/044-connect-supabase-to-ai-data-analyst,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;update_existing_route;verify_faq_rich_results,,P4 Hub 已上线,live,,
28,W2,Phase1,2-B,P0,new_publish,045,connect-postgres-to-ai-data-analyst,/blog/connect-postgres-to-ai-data-analyst,Connect Postgres to AI Data Analyst: Setup Guide (2026),connect postgres to ai data analyst,4,Data Source Connectors,how-to,SEO/Blog/pillar4-data-source-connectors/045-connect-postgres-to-ai-data-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/045-connect-postgres-to-ai-data-analyst,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,HowTo Schema · 对标 Supabase Hub,,,
29,Q2,Q2,—,P0,backlog,046,connect-mysql-to-ai-data-analyst,/blog/connect-mysql-to-ai-data-analyst,Connect MySQL to AI Data Analyst: Setup Guide (2026),connect mysql to ai data analyst,4,Data Source Connectors,how-to,SEO/Blog/pillar4-data-source-connectors/046-connect-mysql-to-ai-data-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/046-connect-mysql-to-ai-data-analyst,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
30,W3,Phase1,3-C,P0,new_publish,047,connect-snowflake-to-ai-analyst,/blog/connect-snowflake-to-ai-analyst,Connect Snowflake to AI Analyst: Setup Guide (2026),connect snowflake to ai analyst,4,Data Source Connectors,how-to,SEO/Blog/pillar4-data-source-connectors/047-connect-snowflake-to-ai-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/047-connect-snowflake-to-ai-analyst,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,connect-postgres-to-ai-data-analyst;connect-supabase-to-ai-data-analyst,,,,
31,W4,Phase1,4-B,P0,new_publish,048,connect-bigquery-to-ai-data-analyst,/blog/connect-bigquery-to-ai-data-analyst,Connect BigQuery to AI Data Analyst: Setup Guide (2026),connect bigquery to ai data analyst,4,Data Source Connectors,how-to,SEO/Blog/pillar4-data-source-connectors/048-connect-bigquery-to-ai-data-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/048-connect-bigquery-to-ai-data-analyst,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;sitemap_resubmit_gsc;gsc_request_indexing;verify_faq_rich_results,,,,,
32,W4,Phase1,4-C,P0,new_publish,051,ai-data-analysis-google-sheets,/blog/ai-data-analysis-google-sheets,AI Data Analysis for Google Sheets: Connector Setup (2026),ai data analysis for google sheets,4,Data Source Connectors,how-to,SEO/Blog/pillar4-data-source-connectors/051-ai-data-analysis-google-sheets,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/051-ai-data-analysis-google-sheets,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;sitemap_resubmit_gsc;gsc_request_indexing;verify_faq_rich_results,,W4 末 sitemap+GSC,,,
33,Q2,Q2,—,P0,backlog,052,ai-data-analysis-csv-files,/blog/ai-data-analysis-csv-files,AI Data Analysis for CSV Files: Connector Playbook (2026),ai data analysis for csv files,4,Data Source Connectors,how-to,SEO/Blog/pillar4-data-source-connectors/052-ai-data-analysis-csv-files,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/052-ai-data-analysis-csv-files,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
34,pre,—,—,SHIPPED,hub_already_live,059,natural-language-to-sql,/blog/natural-language-to-sql,Integrate Natural Language Data Analysis with SQL and Python (2026): Production Playbook,natural language to sql,5,NL2SQL / Text-to-SQL,tech,SEO/Blog/pillar5-nl2sql-text-to-sql/059-natural-language-to-sql,SEO/Blog/frontend-handoff/content/pillar5-nl2sql-text-to-sql/059-natural-language-to-sql,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;update_existing_route;verify_faq_rich_results,,P5 Hub 已上线,live,,
35,W10,Phase3,10-A,P0,new_publish,060,text-to-sql-llm,/blog/text-to-sql-llm,Text to SQL LLM: Reliable Design Patterns for Visualization (2026),text to sql llm,5,NL2SQL / Text-to-SQL,tech,SEO/Blog/pillar5-nl2sql-text-to-sql/060-text-to-sql-llm,SEO/Blog/frontend-handoff/content/pillar5-nl2sql-text-to-sql/060-text-to-sql-llm,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,,,,
36,W10,Phase3,10-B,P0,new_publish,061,nl2sql-benchmark-spider-bird,/blog/nl2sql-benchmark-spider-bird,NL2SQL Benchmark Spider BIRD: What Matters in Production (2026),nl2sql benchmark spider bird,5,NL2SQL / Text-to-SQL,tech/GEO,SEO/Blog/pillar5-nl2sql-text-to-sql/061-nl2sql-benchmark-spider-bird,SEO/Blog/frontend-handoff/content/pillar5-nl2sql-text-to-sql/061-nl2sql-benchmark-spider-bird,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,GEO 高引用,,,
37,Q2,Q2,—,P0,backlog,062,ai-sql-generator,/blog/ai-sql-generator,"AI SQL Generator: Categories, Scorecard, and Buyer Guide (2026)",ai sql generator,5,NL2SQL / Text-to-SQL,comparison,SEO/Blog/pillar5-nl2sql-text-to-sql/062-ai-sql-generator,SEO/Blog/frontend-handoff/content/pillar5-nl2sql-text-to-sql/062-ai-sql-generator,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
38,pre,—,—,SHIPPED,hub_already_live,069,clean-excel-data-with-ai,/blog/clean-excel-data-with-ai,AI to Clean Excel Data (2026): Practical Playbook for Analysts,clean excel data with ai,6,Excel / CSV / Spreadsheet,how-to,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/069-clean-excel-data-with-ai,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/069-clean-excel-data-with-ai,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;update_existing_route;verify_faq_rich_results,,P6 Hub 已上线,live,,
39,W11,Phase3,11-B,P0,new_publish,070,ai-alternative-to-pivot-table,/blog/ai-alternative-to-pivot-table,AI Alternative to Pivot Table: Faster Spreadsheet Analysis (2026),ai alternative to pivot table,6,Excel / CSV / Spreadsheet,how-to,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/070-ai-alternative-to-pivot-table,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/070-ai-alternative-to-pivot-table,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,,,,,
40,Q2,Q2,—,P0,backlog,071,ai-vlookup-replacement,/blog/ai-vlookup-replacement,AI VLOOKUP Replacement: Modern Join and Lookup Workflows (2026),ai vlookup replacement,6,Excel / CSV / Spreadsheet,how-to,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/071-ai-vlookup-replacement,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/071-ai-vlookup-replacement,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
41,Q2,Q2,—,P0,backlog,072,ai-excel-formula-generator,/blog/ai-excel-formula-generator,AI Excel Formula Generator: Reliable Templates and Workflows (2026),ai excel formula generator,6,Excel / CSV / Spreadsheet,how-to,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/072-ai-excel-formula-generator,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/072-ai-excel-formula-generator,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
42,W11,Phase3,11-A,P0,new_publish,073,analyze-csv-with-ai,/blog/analyze-csv-with-ai,Analyze CSV With AI: From Raw Export to Decision-Ready Insights (2026),analyze csv with ai,6,Excel / CSV / Spreadsheet,how-to,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/073-analyze-csv-with-ai,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/073-analyze-csv-with-ai,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;gsc_request_indexing;verify_faq_rich_results,clean-excel-data-with-ai;ai-data-analysis-csv-files,,,,
43,W12,Phase3,12-A,P0,new_publish,081,ai-tools-for-data-analysts,/blog/ai-tools-for-data-analysts,AI Tools for Data Analysts: Stack Guide and Evaluation Framework (2026),ai tools for data analysts,7,Use Cases (Role / Industry),use-case hub,SEO/Blog/pillar7-use-cases-role-industry/081-ai-tools-for-data-analysts,SEO/Blog/frontend-handoff/content/pillar7-use-cases-role-industry/081-ai-tools-for-data-analysts,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images;add_route_and_sitemap;90d_retrospective_analytics;gsc_request_indexing;verify_faq_rich_results,,P7 Hub,,,
44,Q2,Q2,—,P0,backlog,082,ai-data-analysis-product-managers,/blog/ai-data-analysis-product-managers,AI Data Analysis for Product Managers: Metrics Without SQL Overhead (2026),ai data analysis for product managers,7,Use Cases (Role / Industry),use-case,SEO/Blog/pillar7-use-cases-role-industry/082-ai-data-analysis-product-managers,SEO/Blog/frontend-handoff/content/pillar7-use-cases-role-industry/082-ai-data-analysis-product-managers,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
45,Q2,Q2,—,P0,backlog,083,ai-data-analysis-finance-teams,/blog/ai-data-analysis-finance-teams,"AI Data Analysis for Finance Teams: Close, FP&A, and Variance (2026)",ai data analysis for finance teams,7,Use Cases (Role / Industry),use-case,SEO/Blog/pillar7-use-cases-role-industry/083-ai-data-analysis-finance-teams,SEO/Blog/frontend-handoff/content/pillar7-use-cases-role-industry/083-ai-data-analysis-finance-teams,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
46,Q2,Q2,—,P0,backlog,084,ai-data-analysis-marketing,/blog/ai-data-analysis-marketing,AI Data Analysis for Marketing: Campaign and Funnel Analytics (2026),ai data analysis for marketing,7,Use Cases (Role / Industry),use-case,SEO/Blog/pillar7-use-cases-role-industry/084-ai-data-analysis-marketing,SEO/Blog/frontend-handoff/content/pillar7-use-cases-role-industry/084-ai-data-analysis-marketing,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
47,Q2,Q2,—,P0,backlog,089,ai-data-analysis-ecommerce,/blog/ai-data-analysis-ecommerce,"AI Data Analysis for Ecommerce: Revenue, Cohort, and Merchandising (2026)",ai data analysis for ecommerce,7,Use Cases (Role / Industry),use-case,SEO/Blog/pillar7-use-cases-role-industry/089-ai-data-analysis-ecommerce,SEO/Blog/frontend-handoff/content/pillar7-use-cases-role-industry/089-ai-data-analysis-ecommerce,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
48,Q2,Q2,—,P0,backlog,090,ai-data-analysis-saas,/blog/ai-data-analysis-saas,"AI Data Analysis for SaaS: Churn, Expansion, and PLG Metrics (2026)",ai data analysis for saas,7,Use Cases (Role / Industry),use-case,SEO/Blog/pillar7-use-cases-role-industry/090-ai-data-analysis-saas,SEO/Blog/frontend-handoff/content/pillar7-use-cases-role-industry/090-ai-data-analysis-saas,article.md;meta-tags.html;schema.json;images/,render_article;inject_meta_tags;inject_schema_json;upload_images,,,backlog,,
