部署序号,周次,阶段,批次,关键词优先级,部署动作,文章编号,slug,URL,英文标题,目标关键词,支柱编号,支柱名称,内容类型,仓库路径,前端交付路径,部署文件包,上线后检查项,依赖先上线的slug,备注,部署状态,上线日期,GSC已提交
20,第1周,第一阶段（W1–4 · BOFU拦截）,1-B,P0（最高）,新发文章,031,julius-ai-alternatives,/blog/julius-ai-alternatives,Julius AI Alternatives: Best Options for Data Analysis Teams (2026),julius ai alternatives,3,P3 · AI分析师工具/对比,替代品页,SEO/Blog/pillar3-ai-analyst-tools/031-julius-ai-alternatives,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/031-julius-ai-alternatives,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,infinisynapse-vs-julius-ai,与 1-A 互链,,,
21,第4周,第一阶段（W1–4 · BOFU拦截）,4-A,P1（高）,新发文章,032,thoughtspot-alternatives,/blog/thoughtspot-alternatives,ThoughtSpot Alternatives: Best AI Data Visualization Tools in 2026,best ai data visualization tools,3,P3 · AI分析师工具/对比,替代品页,SEO/Blog/pillar3-ai-analyst-tools/032-thoughtspot-alternatives,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/032-thoughtspot-alternatives,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；重新提交sitemap到GSC；GSC请求编入索引；FAQ富媒体结果测试,,Phase1 收官,,,
22,第8周,第二阶段（W5–8 · 建权威）,8-A,P1（高）,新发文章,033,databricks-genie-alternatives,/blog/databricks-genie-alternatives,Databricks Assistant vs Genie: 6 Alternatives for Lakehouse Teams (2026),databricks assistant vs genie,3,P3 · AI分析师工具/对比,替代品页,SEO/Blog/pillar3-ai-analyst-tools/033-databricks-genie-alternatives,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/033-databricks-genie-alternatives,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；全站title/meta复查；GSC请求编入索引；FAQ富媒体结果测试,infinisynapse-vs-databricks-genie;databricks-genie-vs-data-agent,Genie 集群内链,,,
23,第1周,第一阶段（W1–4 · BOFU拦截）,1-A,P0（最高）,新发文章,037,infinisynapse-vs-julius-ai,/blog/infinisynapse-vs-julius-ai,InfiniSynapse vs Julius AI: Data Analysis Comparison for Teams (2026),infinisynapse vs julius ai,3,P3 · AI分析师工具/对比,对比页,SEO/Blog/pillar3-ai-analyst-tools/037-infinisynapse-vs-julius-ai,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/037-infinisynapse-vs-julius-ai,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,,BOFU 对比 · W1 首发,,,
24,第3周,第一阶段（W1–4 · BOFU拦截）,3-A,P0（最高）,新发文章,038,infinisynapse-vs-chatgpt,/blog/infinisynapse-vs-chatgpt,InfiniSynapse vs ChatGPT Data Analysis: Which Workflow Wins in 2026?,infinisynapse vs chatgpt data analysis,3,P3 · AI分析师工具/对比,对比页,SEO/Blog/pillar3-ai-analyst-tools/038-infinisynapse-vs-chatgpt,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/038-infinisynapse-vs-chatgpt,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,infinisynapse-vs-julius-ai;julius-ai-alternatives,,,,
25,第2周,第一阶段（W1–4 · BOFU拦截）,2-A,P1（高）,新发文章,039,infinisynapse-vs-databricks-genie,/blog/infinisynapse-vs-databricks-genie,InfiniSynapse vs Databricks Genie: Lakehouse AI Comparison for 2026,databricks genie,3,P3 · AI分析师工具/对比,对比页,SEO/Blog/pillar3-ai-analyst-tools/039-infinisynapse-vs-databricks-genie,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/039-infinisynapse-vs-databricks-genie,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,,Genie 集群起点,,,
26,第8周,第二阶段（W5–8 · 建权威）,8-B,P0（最高）,新发文章,043,infinisynapse-review,/blog/infinisynapse-review,"InfiniSynapse Review (2026): Honest Scorecard, Pros, Cons, and Buyer Fit",infinisynapse review,3,P3 · AI分析师工具/对比,产品评测,SEO/Blog/pillar3-ai-analyst-tools/043-infinisynapse-review,SEO/Blog/frontend-handoff/content/pillar3-ai-analyst-tools/043-infinisynapse-review,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；全站title/meta复查；GSC请求编入索引；FAQ富媒体结果测试,,W8 全站 meta 复查,,,
27,已上线（Hub）,—,—,已发布Hub,Hub已上线（维护内链）,044,connect-supabase-to-ai-data-analyst,/blog/connect-supabase-to-ai-data-analyst,SQL for Data Analysis: Supabase to an AI Data Analyst in 2026,connect supabase to ai data analyst,4,P4 · 数据源连接教程,操作教程,SEO/Blog/pillar4-data-source-connectors/044-connect-supabase-to-ai-data-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/044-connect-supabase-to-ai-data-analyst,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；更新已有路由页面；FAQ富媒体结果测试,,P4 Hub 已上线,已上线,,
28,第2周,第一阶段（W1–4 · BOFU拦截）,2-B,P0（最高）,新发文章,045,connect-postgres-to-ai-data-analyst,/blog/connect-postgres-to-ai-data-analyst,Connect Postgres to AI Data Analyst: Setup Guide (2026),connect postgres to ai data analyst,4,P4 · 数据源连接教程,操作教程,SEO/Blog/pillar4-data-source-connectors/045-connect-postgres-to-ai-data-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/045-connect-postgres-to-ai-data-analyst,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,,HowTo Schema · 对标 Supabase Hub,,,
29,Q2待排,Q2候选队列,—,P0（最高）,Q2候选（90天后）,046,connect-mysql-to-ai-data-analyst,/blog/connect-mysql-to-ai-data-analyst,Connect MySQL to AI Data Analyst: Setup Guide (2026),connect mysql to ai data analyst,4,P4 · 数据源连接教程,操作教程,SEO/Blog/pillar4-data-source-connectors/046-connect-mysql-to-ai-data-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/046-connect-mysql-to-ai-data-analyst,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源,,,待排期,,
30,第3周,第一阶段（W1–4 · BOFU拦截）,3-C,P0（最高）,新发文章,047,connect-snowflake-to-ai-analyst,/blog/connect-snowflake-to-ai-analyst,Connect Snowflake to AI Analyst: Setup Guide (2026),connect snowflake to ai analyst,4,P4 · 数据源连接教程,操作教程,SEO/Blog/pillar4-data-source-connectors/047-connect-snowflake-to-ai-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/047-connect-snowflake-to-ai-analyst,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,connect-postgres-to-ai-data-analyst;connect-supabase-to-ai-data-analyst,,,,
31,第4周,第一阶段（W1–4 · BOFU拦截）,4-B,P0（最高）,新发文章,048,connect-bigquery-to-ai-data-analyst,/blog/connect-bigquery-to-ai-data-analyst,Connect BigQuery to AI Data Analyst: Setup Guide (2026),connect bigquery to ai data analyst,4,P4 · 数据源连接教程,操作教程,SEO/Blog/pillar4-data-source-connectors/048-connect-bigquery-to-ai-data-analyst,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/048-connect-bigquery-to-ai-data-analyst,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；重新提交sitemap到GSC；GSC请求编入索引；FAQ富媒体结果测试,,,,,
32,第4周,第一阶段（W1–4 · BOFU拦截）,4-C,P0（最高）,新发文章,051,ai-data-analysis-google-sheets,/blog/ai-data-analysis-google-sheets,AI Data Analysis for Google Sheets: Connector Setup (2026),ai data analysis for google sheets,4,P4 · 数据源连接教程,操作教程,SEO/Blog/pillar4-data-source-connectors/051-ai-data-analysis-google-sheets,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/051-ai-data-analysis-google-sheets,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；重新提交sitemap到GSC；GSC请求编入索引；FAQ富媒体结果测试,,W4 末 sitemap+GSC,,,
33,Q2待排,Q2候选队列,—,P0（最高）,Q2候选（90天后）,052,ai-data-analysis-csv-files,/blog/ai-data-analysis-csv-files,AI Data Analysis for CSV Files: Connector Playbook (2026),ai data analysis for csv files,4,P4 · 数据源连接教程,操作教程,SEO/Blog/pillar4-data-source-connectors/052-ai-data-analysis-csv-files,SEO/Blog/frontend-handoff/content/pillar4-data-source-connectors/052-ai-data-analysis-csv-files,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源,,,待排期,,
34,已上线（Hub）,—,—,已发布Hub,Hub已上线（维护内链）,059,natural-language-to-sql,/blog/natural-language-to-sql,Integrate Natural Language Data Analysis with SQL and Python (2026): Production Playbook,natural language to sql,5,P5 · 自然语言转SQL,技术深度,SEO/Blog/pillar5-nl2sql-text-to-sql/059-natural-language-to-sql,SEO/Blog/frontend-handoff/content/pillar5-nl2sql-text-to-sql/059-natural-language-to-sql,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；更新已有路由页面；FAQ富媒体结果测试,,P5 Hub 已上线,已上线,,
35,第10周,第三阶段（W9–12 · 补全长尾）,10-A,P0（最高）,新发文章,060,text-to-sql-llm,/blog/text-to-sql-llm,Text to SQL LLM: Reliable Design Patterns for Visualization (2026),text to sql llm,5,P5 · 自然语言转SQL,技术深度,SEO/Blog/pillar5-nl2sql-text-to-sql/060-text-to-sql-llm,SEO/Blog/frontend-handoff/content/pillar5-nl2sql-text-to-sql/060-text-to-sql-llm,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,,,,,
36,第10周,第三阶段（W9–12 · 补全长尾）,10-B,P0（最高）,新发文章,061,nl2sql-benchmark-spider-bird,/blog/nl2sql-benchmark-spider-bird,NL2SQL Benchmark Spider BIRD: What Matters in Production (2026),nl2sql benchmark spider bird,5,P5 · 自然语言转SQL,技术深度（GEO高引用）,SEO/Blog/pillar5-nl2sql-text-to-sql/061-nl2sql-benchmark-spider-bird,SEO/Blog/frontend-handoff/content/pillar5-nl2sql-text-to-sql/061-nl2sql-benchmark-spider-bird,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,,GEO 高引用,,,
37,Q2待排,Q2候选队列,—,P0（最高）,Q2候选（90天后）,062,ai-sql-generator,/blog/ai-sql-generator,"AI SQL Generator: Categories, Scorecard, and Buyer Guide (2026)",ai sql generator,5,P5 · 自然语言转SQL,对比分析,SEO/Blog/pillar5-nl2sql-text-to-sql/062-ai-sql-generator,SEO/Blog/frontend-handoff/content/pillar5-nl2sql-text-to-sql/062-ai-sql-generator,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源,,,待排期,,
38,已上线（Hub）,—,—,已发布Hub,Hub已上线（维护内链）,069,clean-excel-data-with-ai,/blog/clean-excel-data-with-ai,AI to Clean Excel Data (2026): Practical Playbook for Analysts,clean excel data with ai,6,P6 · Excel/CSV表格,操作教程,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/069-clean-excel-data-with-ai,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/069-clean-excel-data-with-ai,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；更新已有路由页面；FAQ富媒体结果测试,,P6 Hub 已上线,已上线,,
39,第11周,第三阶段（W9–12 · 补全长尾）,11-B,P0（最高）,新发文章,070,ai-alternative-to-pivot-table,/blog/ai-alternative-to-pivot-table,AI Alternative to Pivot Table: Faster Spreadsheet Analysis (2026),ai alternative to pivot table,6,P6 · Excel/CSV表格,操作教程,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/070-ai-alternative-to-pivot-table,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/070-ai-alternative-to-pivot-table,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,,,,,
40,Q2待排,Q2候选队列,—,P0（最高）,Q2候选（90天后）,071,ai-vlookup-replacement,/blog/ai-vlookup-replacement,AI VLOOKUP Replacement: Modern Join and Lookup Workflows (2026),ai vlookup replacement,6,P6 · Excel/CSV表格,操作教程,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/071-ai-vlookup-replacement,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/071-ai-vlookup-replacement,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源,,,待排期,,
41,Q2待排,Q2候选队列,—,P0（最高）,Q2候选（90天后）,072,ai-excel-formula-generator,/blog/ai-excel-formula-generator,AI Excel Formula Generator: Reliable Templates and Workflows (2026),ai excel formula generator,6,P6 · Excel/CSV表格,操作教程,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/072-ai-excel-formula-generator,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/072-ai-excel-formula-generator,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源,,,待排期,,
42,第11周,第三阶段（W9–12 · 补全长尾）,11-A,P0（最高）,新发文章,073,analyze-csv-with-ai,/blog/analyze-csv-with-ai,Analyze CSV With AI: From Raw Export to Decision-Ready Insights (2026),analyze csv with ai,6,P6 · Excel/CSV表格,操作教程,SEO/Blog/pillar6-ai-excel-csv-spreadsheet/073-analyze-csv-with-ai,SEO/Blog/frontend-handoff/content/pillar6-ai-excel-csv-spreadsheet/073-analyze-csv-with-ai,article.md；meta-tags.html；schema.json；images/,渲染article.md正文；注入meta-tags.html；注入schema.json结构化数据；上传images图片资源；新增路由并更新sitemap；GSC请求编入索引；FAQ富媒体结果测试,clean-excel-data-with-ai;ai-data-analysis-csv-files,,,,
