奖项,奖项内排序,定奖方式,作品名称,产品URL,InfiniSynapseAPI,产品赛道,综合分,综合评级,参赛排名,场景价值,技术完成度,创新性,人气票数,一句话总评,定奖说明
优秀奖,3,新定,数鉴交易市场,https://dataescrow.suzhouye.cn/,是,可信数据,8.07,A,12,8.0,7.5,9.0,6,想法非常产品：验货室而不是货架。若交易闭环再实，可进头部。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,4,新定,跨境智选 SuperSignal｜基于供需信号的跨境优选决策平台,https://supersignal.kangkona.workers.dev/,是,跨境电商,8.00,A,13,8.0,8.0,8.0,19,决策产品意识强：先判断值不值得验证，而不是假装能算爆款概率。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,5,新定,Evidence Desk 专家发现台,https://experts.threeradius.com,是,科研学术,8.00,A,14,8.0,8.0,8.0,5,B 端研究工具里少见的克制：先给证据，再给下一步调查。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,6,新定,mynx,https://mynx-web.vercel.app/,是,科研工具,8.00,A,15,8.0,8.0,8.0,3,垂直科研生产力工具，专业闭环和本地优先都到位。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,7,新定,城市值得去工作吗（city_worth）,https://iscityworth.asia/,是,求职职业,7.95,A,16,8.5,8.0,7.0,0,求职城市决策里最完整的 C 端产品之一。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,8,新定,面试模拟器,http://150.158.148.112,是,求职职业,7.80,A,18,8.0,8.5,6.5,187,求职陪练里工程完成度最高的一档，创新空间被赛道同质化压住。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,9,新定,住哪儿｜租房通勤决策器,https://guangforent-zhunaer-d3glw67kxb5de30db.webapps.tcloudbase.com,是,生活决策,7.78,A,19,8.5,7.5,7.0,147,场景切入准，产品叙事强；若数据源与复核能力再实，会更接近头部。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,10,新定,AI 装修报价审计员,https://reno-audit.vercel.app,是,生活决策,7.78,A,20,8.5,7.5,7.0,5,C 端省钱工具打点准，单报价审计已经可用。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,11,新定,语感工坊 YuGan,https://305758.xyz,是,教育学习,7.78,A,21,7.0,8.5,8.0,32,小众但机制完整：把学习行为变成可问的数据产品，创新高于场景广度。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,12,新定,琢玉轩,https://zhuoyuxuan-production.up.railway.app/,是,教育学习,7.75,A,22,8.0,8.0,7.0,23,教师工作台完成度高；创新在流程整合与出品形态，不是方法论突破。,按指定替换就业气象局进入优秀奖。已核验调用 InfiniSynapse API，体验链接可打开。
优秀奖,13,新定,Real Raise：涨薪真实购买力计算器,https://plain-wind-ae46.yefuyou2333.workers.dev/,是,个人财务,7.70,A,23,8.0,7.5,7.5,22,小而准的财务决策工具，洞察清晰，体量轻但打点准。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,14,新定,先鉴,https://peek.antiquelixcheng5413.workers.dev/,是,教育学习,7.67,A,25,7.5,8.0,7.5,29,学习效率工具里机制清楚：先筛选再路线，完成度也配得上。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,15,新定,OPC Gate｜一人公司政策与落地路线诊断,https://opcgate.com,是,创业政策,7.67,A,26,7.5,8.0,7.5,5,创业基础设施型产品，可解释性和工程核验都到位。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,16,新定,拾余,http://47.238.242.89:3001,是,个人财务,7.67,A,27,7.5,8.0,7.5,1,个人财务里体验和机制都完整，人气与实力明显不符。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,17,新定,合同明镜 · AI 合同风险助手,https://ai-contract-risk-assistant.onrender.com,是,法律权益,7.53,A,30,8.5,7.5,6.0,6,场景价值高、能用；要靠垂直合同类型或证据标准才能拉开差距。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,18,新定,掌柜参谋,http://82.156.104.3:8399/,是,经营电商,7.50,A,31,8.0,8.0,6.0,136,小商家经营分析的扎实样本，差异化不够拉开与同类的距离。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,19,新定,北京摆摊点位分析,https://baitan-d7gzhdal4e568e34b-1442581960.tcloudbaseapp.com,是,本地创业,7.50,A,32,7.5,7.5,7.5,25,超垂直但可用：推荐能对照线下验证，是好的本地生活数据产品。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,20,新定,小红书种草甄别,https://xhs-ad-detect.onrender.com,是,消费决策,7.38,B,37,7.5,7.5,7.0,0,日常决策工具打点准，可解释性是产品关键。,按指定替换 上岸参谋 进入优秀奖。已核验调用 InfiniSynapse API，体验链接可打开。
优秀奖,21,新定,客满满,https://kemanman1.vercel.app/,是,经营电商,7.45,B,34,8.0,7.5,6.5,24,把短视频数据接到可执行经营动作，实用；解决方案形态较常见。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,22,新定,Token体检,http://43.132.209.68,是,开发者工具,7.43,B,35,7.0,7.5,8.0,3,吃自己的狗粮：用数据分析改 AI 协作方式，创新明确。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,23,新定,逆向罗盘（Return Compass）,https://multi-platform-return-loss-diagnosis.onrender.com/,是,经营电商,7.33,B,38,8.0,7.5,6.0,3,平台覆盖是卖点，产品叙事略逊于退货雷达。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,24,新定,赛场扫描仪,http://101.37.80.155:5173/,是,竞赛工具,7.22,B,41,6.5,7.5,8.0,9,自指巧妙、完成度好，场景天花板受「参赛工具」限制。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,25,新定,凤栖梧,https://fengqiwu-production.up.railway.app,是,求职职业,7.07,B,42,7.5,7.0,6.5,31,情绪入口有辨识度，产品容易做成功能集合而不是一条主任务。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,26,新定,Retro/Radar · 项目复盘雷达,https://retro-radar-2026.vercel.app,是,项目管理,7.07,B,43,7.5,7.0,6.5,3,管理工具切入准；深度取决于真实项目数据接入，目前偏演示。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,27,新定,电商经营分析助手,http://120.53.8.28:8666/,是,经营电商,7.05,B,45,7.5,8.0,5.0,4,集成和诚实出数做得好，产品创新不足。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,28,新定,帅治星球-职场情绪分析平台,https://shuaizhi.jinxilab.com,是,组织人力,7.05,B,46,7.0,7.5,6.5,7,HR 向完整，体验强；需非常小心数据伦理，产品创新中等。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,29,新定,智能掌柜,https://app-d8bq72qab4zl.appmiaoda.com,是,经营电商,7.00,B,49,7.5,7.5,5.5,93,垂直本地生活商家没错，但本届同类供给过多，辨识度不足。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,30,新定,学情罗盘 EduCompass,http://43.108.11.142:5678/,是,教育学习,6.97,B,50,8.0,6.5,6.0,4,场景正确，产品完成度中等，创新一般。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,31,新定,资析智策 （资产分析与智能决策 Asset Intelligence & Decision Analytics System）,https://asset.312404.xyz/,是,企业经营,6.95,B,52,7.5,7.0,6.0,40,B 端场景成立，完成度够演示；产品创新中等，更像传统资产系统的 AI 外壳。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,32,新定,职牌,http://43.161.226.67/,是,求职职业,6.95,B,53,7.0,6.5,7.5,32,传播物设计出色，作为求职决策工具深度还不够。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,33,新定,RepoPulse｜开源项目运营体检,https://repopulse-2026.regeditthao.chatgpt.site,是,研发生态,6.93,B,54,7.0,7.5,6.0,4,开发者工具扎实，创新中等。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,34,新定,智管进销存,https://zhiguan-jxc-production.up.railway.app,是,经营电商,6.90,B,55,8.0,7.0,5.0,0,场景分高，创新分被品类成熟度压住。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,35,新定,智析账本 BillLens,http://120.48.158.101:8080,是,个人财务,6.82,B,57,7.5,7.0,5.5,313,能用，但产品定义过宽，更像能力展示册而不是一个打透的财务产品。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,36,新定,家居供应链协同平台,https://supply-chain.520resume-doctor.online,是,供应链,6.78,B,58,7.5,6.5,6.0,2,行业场景成立，演示数据限制了可信完成度。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,37,新定,财格-AI犀利点评你的理财性格,https://service.bckf.cn/caige/,是,个人财务,6.65,B,59,6.0,7.5,6.5,4,增长型小工具做得圆，不是深度财务产品。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,38,新定,应用名称 统计分析系统（Statistical Analysis System）,https://qu-stat-system.vercel.app/,是,公共数据,6.60,B,62,6.5,7.5,5.5,6,数据工程扎实，产品创新和大众场景价值中等。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,39,新定,泡泡看市|小白的股市翻译官,https://paopaoaii.a273894731.workers.dev/,是,投资理财,6.60,B,63,6.5,7.5,5.5,3,体验完整的入门看盘，产品创新一般。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,40,新定,智行路线 RouteWise,http://47.120.26.69:7890/routewise/,是,旅行规划,6.60,B,64,6.5,7.5,5.5,0,完成度明显好于多数旅游作品，创新不足。,已核验调用 InfiniSynapse API。一二三等奖名额已满后按综合分递补优秀奖；品类允许重复。已核验体验链接可打开。
优秀奖,41,新定,SEO数据分析,https://gsc-data-analysis.vercel.app/,是,内容增长,4.22,D,88,5.0,3.5,4.0,19,信息披露不足，产品评价只能保守处理。,按指定替换 ReelSpark 进入优秀奖。线上要求连接个人 InfiniSynapse API，体验链接可打开。
优秀奖,42,新定,ProjectValueLab,https://pvl.octoooo.com/,是,产品研究,6.45,C,68,7.0,6.5,5.5,7,可用的立项助手，产品形态常规。,已核验调用 InfiniSynapse API，体验链接可打开，按综合分递补优秀奖。
优秀奖,43,新定,选题雷达 Topic Radar,http://120.53.8.28:3000/,是,内容增长,6.45,C,69,7.0,6.5,5.5,2,能用的创作者工具，差异化不足。,已核验调用 InfiniSynapse API，体验链接可打开，按综合分递补优秀奖。
优秀奖,44,新定,学习计划助手,https://infinisynapse-new.pages.dev/,是,教育学习,6.30,C,71,6.5,7.0,5.0,7,干净可用的计划生成器，缺乏诊断—练习闭环或独特数据。,已核验调用 InfiniSynapse API，体验链接可打开，按综合分递补优秀奖。
优秀奖,45,新定,CET-4 Vocab Lab 四级单词学习舱,https://infinisynapse-cet4-vocab.vercel.app/,是,教育学习,6.30,C,72,6.5,7.0,5.0,3,可用的备考工具，缺少独特学习数据或机制。,已核验调用 InfiniSynapse API，体验链接可打开，按综合分递补优秀奖。
优秀奖,46,新定,竞品对标分析器,http://compbench.zhuangyb.top,是,产品研究,6.28,C,73,7.0,6.0,5.5,28,场景没错，材料不足以支撑高完成度评价。,已核验调用 InfiniSynapse API，体验链接可打开，按综合分递补优秀奖。
优秀奖,47,新定,产品经理数据汇报工作台,http://8.141.101.70/data-workbench/,是,通用分析,6.15,C,74,7.0,6.0,5.0,19,对上了岗位场景，产品完成度与差异化都偏中下。,按指定进入优秀奖。已核验通过官方 agent_infini CLI 接入 InfiniSynapse，体验链接可打开。
优秀奖,48,新定,簿言,https://vibe-coding-boyan.vercel.app/login,是,通用分析,5.80,C,79,6.0,6.5,4.5,42,能用的轻办公组合，产品焦点不够，难以形成记忆点。,按仓库核验调用 app.infinisynapse.cn / newTask，递补因未使用 InfiniSynapse API 而移出的优秀奖空缺。体验链接可打开。
优秀奖,49,新定,明日足球,https://www.yomujp.top/,是,体育娱乐,6.05,C,75,6.0,6.5,5.5,9,完整体验向体育应用，场景价值与创新都中等。,按指定替换 wisp science 进入优秀奖。已核验调用 InfiniSynapse API，体验链接可打开。
优秀奖,50,新定,人生模拟器,https://life-simulator-omega-snowy.vercel.app/,是,娱乐实验,4.40,D,87,3.5,5.0,5.0,6,娱乐 demo，产品层面贡献有限。,按仓库/线上核验调用 InfiniSynapse API，递补优秀奖至 50 席。体验链接可打开。
未获奖,1,—,就业气象局,http://tsyewz.top/infinisynapse/,未见证据,求职职业,7.70,A,24,8.0,7.5,7.5,14,社会议题型产品，数据视野大，适合作为职业选择的对照系。,按指定由琢玉轩替换，移出优秀奖。
未获奖,2,—,择途 Zhitu,http://115.29.201.209,是,求职职业,7.62,A,28,8.0,8.0,6.5,11,求职训练里闭环最完整的之一，创新被赛道拥挤度限制。,体验链接无法打开，取消优秀奖资格。
未获奖,3,—,上岸参谋,http://47.122.117.93:3001/,是,求职职业,7.47,B,33,8.5,7.0,6.5,3,场景极好，演示数据量限制了产品可信度。,按用户指定换回城市值得去工作吗（city_worth）。上岸参谋移出优秀奖。
未获奖,4,—,投刊罗盘,https://journal-fit-navigator.vercel.app/,未见证据,科研学术,7.40,B,36,8.0,7.0,7.0,11,小而硬的学术决策工具，实用；数据资产决定长期壁垒。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,5,—,标签真相局 LabelLens,https://label-lens-290107-10-1345034686.sh.run.tcloudbase.com,是,消费决策,7.32,B,39,7.5,7.0,7.5,0,小切口消费决策工具，证据导向正确。,体验链接无法打开，取消优秀奖资格。
未获奖,6,—,sageteach高中复盘工具,https://sageteach.top,未见证据,教育学习,7.28,B,40,8.0,7.0,6.5,4,教育工具里场景落地好，差异化中等。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,7,—,FinPDF Extract,https://kaiww.cn/home,未见证据,金融工具,7.07,B,44,7.5,7.0,6.5,3,窄而实用的生产力工具，创新在核对体验。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,8,—,个人仅供参考,https://www.jxmx.shop/,未见证据,自我认知,7.05,B,47,6.5,7.0,8.0,7,轻量心理产品里最有想法的一档，场景价值受「非刚需」限制。,体验链接无法打开，取消优秀奖资格。
未获奖,9,—,现金流人生,https://tcnkdofxa9us.aiforce.cloud/app/app_17b4wnabbfu,未见证据,个人财务,7.03,B,48,7.5,6.5,7.0,3,问题定义好；若假设透明、校准可核验，会明显更强。,长廊只写 infini AI，线上与合作方均无 InfiniSynapse API 证据，移出优秀奖。
未获奖,10,—,析数 · 智能数据分析平台（英文名：Analyx · Intelligent Data Analytics）,https://www.lgbisha.cn,是,通用分析,6.97,B,51,7.0,8.0,5.5,3,平台型完成度好，产品记忆点弱于垂直打透的作品。,体验链接无法打开，取消优秀奖资格。
未获奖,11,—,智观天象,https://micai-123.github.io/skygazer/,未见证据,生活决策,6.90,B,56,6.5,8.0,6.0,3,工程面很满，产品焦点略散，天气赛道难做出差异。,仓库实际接入 DeepSeek / 百炼，未见 InfiniSynapse API，移出优秀奖。
未获奖,12,—,脑洞实验室,https://brain.yanyanyan.com.cn/,未见证据,娱乐实验,6.65,B,60,5.5,7.0,8.0,14,创新和完成度明显高于场景价值，是好的体验型作品。,代码调用虚构域名 api.infiniSynapse.com/chat/completions，不是 InfiniSynapse Server API，移出优秀奖。
未获奖,13,—,食刻｜新手做饭食谱平台,http://111.193.26.66:3001/,是,生活决策,6.62,B,61,7.0,7.0,5.5,35,生活向完整应用，创新一般，适合作为消费级辅助而非决策引擎。,体验链接无法打开，取消优秀奖资格。
未获奖,14,—,群聊气象站,https://chat-weather-station.vercel.app/,未见证据,社交观察,6.57,B,65,6.5,6.0,7.5,5,概念和价值观出色，产品骨架还需更看得见。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,15,—,ReelSpark：基于短剧剧情的即时互动激发平台,https://modelscope.cn/studios/MyUtopia/ReelSpark-Ops,未见证据,内容增长,6.57,B,66,6.5,6.0,7.5,2,机制有趣，产品完成度还停在接入设想。,长廊自称 InfiniSynapse API，线上包与 GitHub 实际为火山方舟/豆包，取消优秀奖资格。
未获奖,16,—,疲劳驾驶监测,https://152.136.255.253:5000/,未见证据,公共安全,6.50,B,67,7.0,7.0,5.0,0,技术演示成立，产品形态和本届数据应用主线较远。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,17,—,外贸实时获客系统,http://120.55.80.245:3000/dashboard,未见证据,外贸获客,6.33,C,70,8.0,5.0,5.5,3,场景分高、可见完成度低，承诺与材料不匹配。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,18,—,智能数据分析工作台,https://vibescope-ten.vercel.app,是,通用分析,5.97,C,76,6.0,7.0,4.5,5,工程习惯好，产品定义是泛工具，难形成壁垒。,按指定由产品经理数据汇报工作台替换，移出优秀奖。
未获奖,19,—,JobHunter Pro — 智能求职聚合平台,https://6a61dad6aa683d65c326e57d--heartfelt-fairy-88ed7e.netlify.app/,未见证据,求职职业,5.85,C,77,7.0,5.5,4.5,7,场景对，产品承诺很大，可见完成度与创新都偏弱。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,20,—,一眼看懂这只股票,https://infinisynapse-stock-explained.vercel.app/,未见证据,投资理财,5.78,C,80,6.5,5.5,5.0,15,场景通俗，材料薄，完成度与创新都一般。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,21,—,屏时,https://screen.up.railway.app/,未见证据,娱乐实验,5.65,C,81,4.5,6.0,7.0,6,好玩的社交物件，不是决策型数据产品。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,22,—,智能旅游,http://115.190.225.153:25000,未见证据,旅行规划,4.95,D,82,5.5,5.0,4.0,3,旅游应用模板，产品焦点不清。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,23,—,wisp science,https://github.com/xuzhougeng/wisp-science/releases/,是,科研学术,4.93,D,83,6.0,4.0,4.5,3,方向正确，尚停留在概念声明。,按指定由明日足球替换，移出优秀奖。体验入口为 GitHub Releases，不作为优秀奖作品。
未获奖,24,—,医路通 — 在线问诊与预约挂号系统,https://yiliao-dp8m895cky01.edgeone.dev?eo_token=dc3a6c0bd31f2f9f849051f29b7e91b9&eo_time=1785208644,未见证据,医疗健康,4.85,D,84,6.0,4.5,3.5,10,场景大、产品轻，与「泛数据分析应用」主线也较远。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,25,—,AI旅游助手,http://115.190.237.248/,未见证据,旅行规划,4.65,D,85,5.5,4.5,3.5,3,可见信息无法支撑「产品」评价。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,26,—,travel-budget-planner,https://travel-budget-planner-clone.vercel.app/,未见证据,旅行规划,4.47,D,86,5.5,4.0,3.5,3,红海场景 + 信息披露不足。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,27,—,股票查询系统,https://stock-insight-theta.vercel.app/,未见证据,投资理财,4.15,D,89,5.0,4.0,3.0,7,信息过少，产品定义停留在「能查」。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,28,—,明朝那些事儿,https://xiangyin2-dptggxonmj01.edgeone.cool?eo_token=7236a475d9d3922da38a6481ee23e153&eo_time=1783991242,未见证据,内容百科,4.10,D,90,4.0,5.0,3.0,5,内容站，不是本届意义上的数据应用产品。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
未获奖,29,—,threejs大屏以及中国各省自治区直辖市3d地图,https://gitee.com/zhaoguandafei/threejs,未见证据,可视化demo,3.70,D,91,4.0,3.5,3.5,0,可视化素材，尚未构成产品。,未见 InfiniSynapse API 调用证据（长廊介绍与合作方用量均未体现），不具备入选资格。
