奖项,奖项内排序,作品名称,产品URL,链接打开,任务核验,任务说明,备注
优秀奖,11,语感工坊 YuGan,https://305758.xyz,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,12,琢玉轩,https://zhuoyuxuan-production.up.railway.app/,是,否,已提交 generate_plan（task_id），轮询后 InfiniSynapse API 超时失败，未出完整教案,
优秀奖,13,Real Raise：涨薪真实购买力计算器,https://plain-wind-ae46.yefuyou2333.workers.dev/,是,是,游客回放任务完成，出现诊断报告,
优秀奖,14,先鉴,https://peek.antiquelixcheng5413.workers.dev/,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,15,OPC Gate｜一人公司政策与落地路线诊断,https://opcgate.com,是,是,示例诊断出完整结果,
优秀奖,16,拾余,http://47.238.242.89:3001,是,是,页内「演示模式一键免密登录」后出完整月报（收入/支出/结余/储蓄率）,
优秀奖,17,合同明镜 · AI 合同风险助手,https://ai-contract-risk-assistant.onrender.com,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,Render 冷启动后可开
优秀奖,18,掌柜参谋,http://82.156.104.3:8399/,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,19,北京摆摊点位分析,https://baitan-d7gzhdal4e568e34b-1442581960.tcloudbaseapp.com,是,是,POST /api/reports/generate SSE 完成，返回 Top10 报告（92s）,Chrome TLS 套件不匹配，curl/python 可打开
优秀奖,20,小红书种草甄别,https://xhs-ad-detect.onrender.com,是,是,按指定替换上岸参谋,
优秀奖,21,客满满,https://kemanman1.vercel.app/,是,是,体验示例跑完并出方案,
优秀奖,22,Token体检,http://43.132.209.68,是,是,示例报告完整打开,
优秀奖,23,逆向罗盘（Return Compass）,https://multi-platform-return-loss-diagnosis.onrender.com/,是,是,诊断流程出完整结果,Render 冷启动后可开
优秀奖,24,赛场扫描仪,http://101.37.80.155:5173/,是,需登录,全页仅 InfiniSynapse 登录门,
优秀奖,25,凤栖梧,https://fengqiwu-production.up.railway.app,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,26,Retro/Radar · 项目复盘雷达,https://retro-radar-2026.vercel.app,是,是,页面已有完整演示结果,
优秀奖,27,电商经营分析助手,http://120.53.8.28:8666/,是,是,客单价分析出完整结果,
优秀奖,28,帅治星球-职场情绪分析平台,https://shuaizhi.jinxilab.com,是,是,手动补录后出现完整分析结果,
优秀奖,29,智能掌柜,https://app-d8bq72qab4zl.appmiaoda.com,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,30,学情罗盘 EduCompass,http://43.108.11.142:5678/,是,是,提交后出现完整结果,
优秀奖,31,资析智策 （资产分析与智能决策 Asset Intelligence & Decision Analytics System）,https://asset.312404.xyz/,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,32,职牌,http://43.161.226.67/,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,33,RepoPulse｜开源项目运营体检,https://repopulse-2026.regeditthao.chatgpt.site,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,34,智管进销存,https://zhiguan-jxc-production.up.railway.app,是,是,演示账号问数，返回图表与合计,
优秀奖,35,智析账本 BillLens,http://120.48.158.101:8080,是,是,页面已有完整演示结果,
优秀奖,36,家居供应链协同平台,https://supply-chain.520resume-doctor.online,是,是,「查看处置方案」出现完整方案,
优秀奖,37,财格-AI犀利点评你的理财性格,https://service.bckf.cn/caige/,是,是,选择收入档后出现完整点评,需 HTTP/1.1
优秀奖,38,应用名称 统计分析系统（Statistical Analysis System）,https://qu-stat-system.vercel.app/,是,是,开始分析后出完整结果,
优秀奖,39,泡泡看市|小白的股市翻译官,https://paopaoaii.a273894731.workers.dev/,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,40,智行路线 RouteWise,http://47.120.26.69:7890/routewise/,是,是,演示账号生成三套完整路线,
优秀奖,41,SEO数据分析,https://gsc-data-analysis.vercel.app/,是,是,页面可打开，可浏览 Search Console 分析数据,
优秀奖,42,ProjectValueLab,https://pvl.octoooo.com/,是,是,开始调研后出完整结果,
优秀奖,43,选题雷达 Topic Radar,http://120.53.8.28:3000/,是,否,已点开始扫描，任务报错（analyze 曾 500）,URL 需尾斜杠 /
优秀奖,44,学习计划助手,https://infinisynapse-new.pages.dev/,是,需登录,生成按钮登录后才可用,
优秀奖,45,CET-4 Vocab Lab 四级单词学习舱,https://infinisynapse-cet4-vocab.vercel.app/,是,部分,已发起主任务，等待期内未见完整完成态（长任务/需上传/多步向导）,
优秀奖,46,竞品对标分析器,http://compbench.zhuangyb.top,是,是,开始分析后出完整结果,
优秀奖,47,产品经理数据汇报工作台,http://8.141.101.70/data-workbench/,是,是,提交后出现完整结果,
优秀奖,48,簿言,https://vibe-coding-boyan.vercel.app/login,是,需登录,打开即登录页,仓库已核验 app.infinisynapse.cn / newTask
优秀奖,49,明日足球,https://www.yomujp.top/,是,是,完整体验向体育应用，按指定替换 wisp,
优秀奖,50,人生模拟器,https://life-simulator-omega-snowy.vercel.app/,是,部分,按 API 核验递补优秀奖 50 席,
