综合排名,参赛排名,作品名称,作品类型,产品赛道,综合评级,综合分,场景价值,技术完成度,创新性,场景价值依据,技术完成度依据,创新性依据,一句话总评,人气票数,长廊排序,可在线体验,最近更新
11,10,退货雷达,参赛作品,经营电商,A,8.12,8.5,8.5,7.0,退款直接吃利润，中小电商「损失在哪、为何发生、先做什么」是真经营问题。,字段识别、核心指标、高退 SKU/渠道/地区/原因、诊断报告与 7 天止损方案、可追问，闭环完整。,问题定义比同类清晰，但退货分析本身不是新品类。,经营分析类里最会问对问题的作品之一，行动方案可落地。,16,29,是,2026-07-28
12,11,装明白｜装修报价与合同风险联审 AI,参赛作品,生活决策,A,8.07,8.5,8.0,7.5,业主同时面对多家报价、合同和口头承诺，联审比单看报价单更接近真实签约决策。,多文件对齐项目/单位/范围，漏项增项异常单价，三情景成本，证据链与谈价清单，临时 Key 安全。,报价+合同+承诺联审、签约/常规/风险上限三情景，比单审计员完整。,装修决策类完成度最高：把钱和条款放到同一张谈判桌上。,4,60,是,2026-07-22
13,12,数鉴交易市场,参赛作品,可信数据,A,8.07,8.0,7.5,9.0,数据买卖缺的是成交前信任，买方提问、卖方侧计算，对准数据要素市场真问题。,批准问题、域内计算、质量证书，机制清楚；交易撮合、合规与规模化细节未充分展开。,先成交「哪些问题可以被回答」，数据不出域，是本届最强的交易机制创新之一。,想法非常产品：验货室而不是货架。若交易闭环再实，可进头部。,6,49,是,2026-07-24
14,13,跨境智选 SuperSignal｜基于供需信号的跨境优选决策平台,参赛作品,跨境电商,A,8.00,8.0,8.0,8.0,跨境选品缺的是「值不值得继续验证」，不是再做一张表，卖家决策价值高。,需求检索、供给匹配、证据/未知项/下一步动作可回看，明确不在缺数据时编利润。,保留反对证据与数据边界，把选品做成判断路径而非爆款预测，方法论成熟。,决策产品意识强：先判断值不值得验证，而不是假装能算爆款概率。,19,26,是,2026-07-29
15,14,Evidence Desk 专家发现台,参赛作品,科研学术,A,8.00,8.0,8.0,8.0,科研管理、技术尽调、人才寻访需要「谁有证据证明能做这个问题」，不是再做一个专家黄页。,OpenReview 实时检索、论文证据、多源核验入口，第二阶段做匹配、同名风险与核验清单。,证据型专家发现、暴露缺口而不是给信任分，方法专业。,B 端研究工具里少见的克制：先给证据，再给下一步调查。,5,54,是,2026-07-24
16,15,mynx,参赛作品,科研工具,A,8.00,8.0,8.0,8.0,生物医学 qPCR 出图和 TIFF 归档是实验室刚需，能直接减少 Excel 宏错误。,浏览器内算相对表达量、误差棒图表、TIFF 批处理水印、IndexedDB 暂存，再交给 Agent 解读。,专业计算留在本地、AI 只做解读，科研工具形态少见且正确。,垂直科研生产力工具，专业闭环和本地优先都到位。,3,66,是,2026-07-31
17,,报告快写,官方示例,官方示例,A,7.97,8.0,9.0,6.5,结构化长报告、引用可审计、批注修订，是知识工作高频刚需。,资料上传、知识库、多格式导出，作为官方工作台能力完整、可体验。,展示平台报告能力，产品形态是探索式工作台，不是新品类。,官方能力样板：完成度高，创新让位给平台能力说明。,,92,是,2026-07-20
18,16,城市值得去工作吗（city_worth）,参赛作品,求职职业,A,7.95,8.5,8.0,7.0,Offer×城市（房价、落户、通勤、工时）是应届和跨城跳槽的核心纠结。,个人画像、14 城知识库、本地规则分、流式 AI 报告、PDF/MD、SSO，产品完整。,把碎片信息收成一站式评估，整合力强；星座五行略稀释专业感。,求职城市决策里最完整的 C 端产品之一。,0,86,是,2026-07-31
19,17,SEO Health Checker,参赛作品,内容增长,A,7.85,7.5,8.5,7.5,发文前体检、站点巡检、AI 搜索可见性对创作者和 SEO 是明确工作流，插件降低使用摩擦。,网页+浏览器插件双形态，基础技术 SEO + E-E-A-T + AI 可见性，SSO 后走用户积分，即开即用。,把「AI 搜索/问答是否愿意引用该页」产品化，比传统 SEO 检测多一层时代增量。,工具形态完整，AI 可见性是本届少有的增长侧新切口。,155,8,是,2026-07-26
20,18,面试模拟器,参赛作品,求职职业,A,7.80,8.0,8.5,6.5,真人陪练稀缺，简历+JD 个性化面试对求职工程师是刚需，评分与复盘可改进下次表现。,四种面试官人设、SSE 流式、中断恢复、历史对比、PDF、Partner SSO，密钥不进前端，工程扎实。,面试模拟是本届拥挤赛道，差异主要在人设与工程，而非新品类。,求职陪练里工程完成度最高的一档，创新空间被赛道同质化压住。,187,7,是,2026-07-30
21,19,住哪儿｜租房通勤决策器,参赛作品,生活决策,A,7.78,8.5,7.5,7.0,租房只看月租、漏算通勤与商水商电，是一线城市高频高额决策，签合同前算清很有价值。,把通勤、真实月成本、配套、风险压成可复核决策表，主路径清楚；公开材料对工程细节披露少于头部作品。,隐性成本折现与「便宜房其实最贵」的量化框架有产品洞察，但形态仍是决策计算器。,场景切入准，产品叙事强；若数据源与复核能力再实，会更接近头部。,147,9,是,2026-07-30
22,20,AI 装修报价审计员,参赛作品,生活决策,A,7.78,8.5,7.5,7.0,装修报价陷阱让业主损失数万很常见，逐项比价和谈判清单可直接省钱。,上传报价、联网市价、6 类陷阱、谈判与漏项、Agent 全流程自动审批出报告，主路径完整。,审计员定位清楚，但与「装明白」同赛道，联审深度略逊。,C 端省钱工具打点准，单报价审计已经可用。,5,51,是,2026-07-28
23,21,语感工坊 YuGan,参赛作品,教育学习,A,7.78,7.0,8.5,8.0,写作训练者需要把语料变成可复习资产，受众窄但使用闭环（积累—诊断—训练）清楚。,六表学习库注册为数据源、NL 问数、雷达诊断、BYOK、真实 Key 可查验，数据基础设施用得深。,不做文案生成器，而把语感当结构化资产来分析，产品定义少见。,小众但机制完整：把学习行为变成可问的数据产品，创新高于场景广度。,32,17,是,2026-07-26
24,22,琢玉轩,参赛作品,教育学习,A,7.75,8.0,8.0,7.0,中小学教师备课、出题、微课出品是高频刚需，能省大量重复劳动。,采璞到凝璋五模块覆盖备课出品，SSE 驱动四项长任务，微课用 TTS+FFmpeg 真合成。,古风工作流包装完整，微课视频把备课做到「能上课」，比纯教案生成进一步。,教师工作台完成度高；创新在流程整合与出品形态，不是方法论突破。,23,24,是,2026-07-31
25,23,Real Raise：涨薪真实购买力计算器,参赛作品,个人财务,A,7.70,8.0,7.5,7.5,名义涨薪 vs 到手与城市购买力，是跳槽/谈薪时人人会踩的认知坑。,到手模式/两期工资条、个税社保、CPI、SSE 解读与任务回放，计算+解释闭环清楚。,把「涨了多少」改写成「能买到什么」，问题定义本身就是产品创新。,小而准的财务决策工具，洞察清晰，体量轻但打点准。,22,25,是,2026-07-28
26,24,就业气象局,参赛作品,求职职业,A,7.70,8.0,7.5,7.5,青年比较机会、时间成本与城市风险，是人生级决策，不只是找一份工作。,融合 14 个数据源、七个视图，信息架构完整；公开材料对任务核验与交互深度写得较少。,用「气象」做多源就业研判，比岗位匹配器更接近公共决策产品。,社会议题型产品，数据视野大，适合作为职业选择的对照系。,14,31,是,2026-07-20
27,25,先鉴,参赛作品,教育学习,A,7.67,7.5,8.0,7.5,长视频信息密度不均、重点难定位，对自学开发者和研究者是高频效率问题。,含金量/技能树匹配/时间码路线、书架笔记、任务恢复不丢状态，长任务产品化到位。,先判断值不值得看，再给可跳转观看路线，比「视频总结」多了决策层。,学习效率工具里机制清楚：先筛选再路线，完成度也配得上。,29,20,是,2026-07-30
28,26,OPC Gate｜一人公司政策与落地路线诊断,参赛作品,创业政策,A,7.67,7.5,8.0,7.5,一人公司面对分散政策、园区和算力资源，落地决策真实且信息获取成本高。,规则引擎先给可追溯匹配，再 SSE 生成城市/证据/风险/七日计划，真实 Task ID 可核验。,政策命中原因+风险边界+官方来源，再接到行动计划，不是政策问答。,创业基础设施型产品，可解释性和工程核验都到位。,5,55,是,2026-07-23
29,27,拾余,参赛作品,个人财务,A,7.67,7.5,8.0,7.5,月光族要的不是又一个记账本，而是浪费点、优化方法和省下钱的去向。,账单双报告、欲望冷却、续费管家、闲置回血、拾余罐、八种图表、SSO，消费级闭环完整。,省钱闭环（发现—冷却—执行—可视化）比单纯消费分析更像产品。,个人财务里体验和机制都完整，人气与实力明显不符。,1,83,是,2026-07-31
30,28,择途 Zhitu,参赛作品,求职职业,A,7.62,8.0,8.0,6.5,从定位到面试训练再到改进任务，对校招社招和高校就业辅导都有规模化价值。,动态出题、语音模拟、实时追问、多维评估、证据化复盘，训练闭环完整。,比单次模拟面多了成长闭环，但品类仍是面试教练。,求职训练里闭环最完整的之一，创新被赛道拥挤度限制。,11,33,是,2026-07-26
31,29,仲裁小助手,参赛作品,法律权益,A,7.60,8.5,7.0,7.0,劳动仲裁赔偿、申请书、证据清单是高利害、强时效的真实法律需求。,输入少、产出文书与法条依据，轻量但可执行；产品模块少于尽调/核数类重型应用。,用再就业周期判断「赔偿金能否覆盖空窗期」，把法律计算接到生活决策，有洞察。,场景极强、交付物具体；作为产品还偏工具单页，扩展空间大。,119,11,是,2026-08-03
32,30,合同明镜 · AI 合同风险助手,参赛作品,法律权益,A,7.53,8.5,7.5,6.0,租房、劳动合同、消费合同是普通人高频高风险签署场景。,文本/Word/PDF/图片多格式、风险解释、改条款建议与沟通话术，C 端闭环完整。,合同审查是拥挤赛道，话术生成是体验加分，机制不新。,场景价值高、能用；要靠垂直合同类型或证据标准才能拉开差距。,6,46,是,2026-07-31
33,31,掌柜参谋,参赛作品,经营电商,A,7.50,8.0,8.0,6.0,不会 SQL 的老板要「查数—归因—决策」，经营日报和今日行动对小商家有直接价值。,订单库存入模、异常哨兵带证据链、服务端 SSE 深度分析，主路径完整。,经营分析助手本届多发，证据链是加分项，品类创新一般。,小商家经营分析的扎实样本，差异化不够拉开与同类的距离。,136,10,是,2026-07-26
34,32,北京摆摊点位分析,参赛作品,本地创业,A,7.50,7.5,7.5,7.5,新手摊主不知道北京哪里适合自己的品类和资金，决策具体、可下场验证。,6 项条件匹配 1200+ 真实 POI、经营策略卡、7 日计划和 PDF，主路径完整。,城市级摊位点位库+约束匹配，比泛「选址报告」更落地。,超垂直但可用：推荐能对照线下验证，是好的本地生活数据产品。,25,22,是,2026-07-29
35,33,上岸参谋,参赛作品,求职职业,B,7.47,8.5,7.0,6.5,数万考公职位里做硬性匹配和冲稳保，是高利害、强时效的刚需。,条件匹配、三档推荐、策略报告、追问、SSO、报告下载齐全；内置仅 35 条职位，数据规模是硬伤。,冲稳保常见，价值取决于职位库完整性，机制不新。,场景极好，演示数据量限制了产品可信度。,3,71,是,2026-07-26
36,34,客满满,参赛作品,经营电商,B,7.45,8.0,7.5,6.5,小微商家「有播放没咨询、不会拍、投流不准」是当前本地经营真痛点。,先算转化/获客成本/ROI，再出诊断、脚本、选题、投流实验和 30 天计划，公式+AI 分层合理。,短视频经营工具不少，可执行脚本与实验方案是加分，品类不新。,把短视频数据接到可执行经营动作，实用；解决方案形态较常见。,24,23,是,2026-07-31
37,35,Token体检,参赛作品,开发者工具,B,7.43,7.0,7.5,8.0,高频 AI 用户浪费上下文是真成本，对本届选手和团队培训都有用。,粘贴/上传对话，浪费账单、证据、优化对比、新会话启动包、SSO+SSE，交付具体。,诊断 Token 浪费并给出 16 型协作人格，是少见的元工具。,吃自己的狗粮：用数据分析改 AI 协作方式，创新明确。,3,68,是,2026-07-30
38,36,投刊罗盘,参赛作品,科研学术,B,7.40,8.0,7.0,7.0,选刊要同时看适配、分区、JIF、OA 费用和风险，科研人刚需、决策具体。,题目/摘要到候选清单与多维比较，主路径清楚；数据更新与覆盖广度未充分展开。,把投稿偏好做成透明比较而不只是「推荐期刊」，产品态度正确。,小而硬的学术决策工具，实用；数据资产决定长期壁垒。,11,34,是,2026-07-24
39,37,小红书种草甄别,参赛作品,消费决策,B,7.38,7.5,7.5,7.0,判断笔记是不是软广，是每天都在发生的消费信任问题。,7 维评分、话术证据、RAG 知识库、SSE+轮询兜底，小工具闭环完整。,把广告法与软广话术库做成可解释浓度，而不是一句「感觉像广告」。,日常决策工具打点准，可解释性是产品关键。,0,89,是,2026-07-31
40,38,逆向罗盘（Return Compass）,参赛作品,经营电商,B,7.33,8.0,7.5,6.0,多平台电商退货损耗（含逆向物流与库存）是跨境/多店团队真成本。,11 个平台+通用表格统一口径，规则+AI 给原因、优先级和建议，覆盖面宽。,与退货雷达同题，优势在多平台接入，问题框架创新较少。,平台覆盖是卖点，产品叙事略逊于退货雷达。,3,69,是,2026-07-30
41,39,标签真相局 LabelLens,参赛作品,消费决策,B,7.32,7.5,7.0,7.5,超市/电商对比配料和营养再决定买哪个，是日常可重复决策。,2–4 款统一单位，热量/蛋白密度/性价比/需求匹配，再给可追溯建议。,看包装背面做对比，而不是再做一个购物推荐，切口干净。,小切口消费决策工具，证据导向正确。,0,84,是,2026-08-01
42,40,sageteach高中复盘工具,参赛作品,教育学习,B,7.28,8.0,7.0,6.5,高中生晚自习拍错题、接到考点与今晚任务，使用场景非常具体。,拍题识考点、辅学、同类练手、学长式情绪支持，移动网页可用，主路径清楚。,拍题产品多，把错题收成「这个考点还能练」有产品感，但品类不新。,教育工具里场景落地好，差异化中等。,4,59,是,2026-07-25
43,41,赛场扫描仪,参赛作品,竞赛工具,B,7.22,6.5,7.5,8.0,帮选手看赛道拥挤度、打磨选题，对本届参赛者有用，对外界用户面窄。,本地确定性统计+Agent 深研分工清楚，看板、选题台、报告归档完整。,用比赛作品集反打比赛策略，元产品意识强，本地可解释统计也加分。,自指巧妙、完成度好，场景天花板受「参赛工具」限制。,9,37,是,2026-07-27
44,42,凤栖梧,参赛作品,求职职业,B,7.07,7.5,7.0,6.5,大学生求职同时缺情绪支持和技能训练，陪伴向产品有真实用户。,六大功能覆盖情绪、模拟面、简历、成长图谱，Flask+SSE；模块多为并列能力，深度不均。,「先接住情绪再解决问题」有差异，但整体仍是求职套件。,情绪入口有辨识度，产品容易做成功能集合而不是一条主任务。,31,19,是,2026-07-28
45,43,Retro/Radar · 项目复盘雷达,参赛作品,项目管理,B,7.07,7.5,7.0,6.5,延期原因难追溯、复盘难变成行动，是产研团队真实管理问题。,健康度、延期预测、因果链、优先行动与可挽回时间，演示数据即开即用。,把复盘做成可核验因果链，比「写一篇复盘总结」更产品。,管理工具切入准；深度取决于真实项目数据接入，目前偏演示。,3,65,是,2026-07-31
46,44,FinPDF Extract,参赛作品,金融工具,B,7.07,7.5,7.0,6.5,金融 PDF 抽表、核对、导出是投行/研究/财务的脏活刚需。,在线预览、编辑、双屏核对、导出，工具主路径清楚；AI 分析层较薄。,双屏核对把「抽出来」做成「对得上」，比纯 OCR 更懂岗位。,窄而实用的生产力工具，创新在核对体验。,3,75,是,2026-07-21
47,45,电商经营分析助手,参赛作品,经营电商,B,7.05,7.5,8.0,5.0,中小电商不会 SQL 也能看经营数据，需求真实。,上传真实订单、探查后写 SQL 不编数、过程可见、多轮追问、SSO，集成规范。,典型 NL2SQL 经营分析，与多件作品同质。,集成和诚实出数做得好，产品创新不足。,4,57,是,2026-07-31
48,46,帅治星球-职场情绪分析平台,参赛作品,组织人力,B,7.05,7.0,7.5,6.5,HR 需要定位高压力员工并给出可落地关怀，需求真实，但员工心理数据敏感。,多格式清洗、星球筛选、公司/部门/个人三类报告、企业档案留存，链路完整。,可视化有记忆点，分析框架仍是压力测评+报告，机制创新有限。,HR 向完整，体验强；需非常小心数据伦理，产品创新中等。,7,39,是,2026-08-11
49,47,个人仅供参考,参赛作品,自我认知,B,7.05,6.5,7.0,8.0,自我认知与他人观察落差有趣，能启发，但不是高利害刚需。,问卷+经历+朋友匿名打分三源对照，结论强调有据可查，主路径完整。,三镜对照、不做诊断不贴标签，产品克制，设计有原创性。,轻量心理产品里最有想法的一档，场景价值受「非刚需」限制。,7,41,是,2026-07-24
50,48,现金流人生,参赛作品,个人财务,B,7.03,7.5,6.5,7.0,买房/辞职/二胎对未来 10–30 年现金流的影响，是家庭重大决策。,四场景叙事完整，路径对比与目标反推清楚；公开材料对模型假设与工程核验较少。,人生沙盘对比两条路径，比静态预算表更有产品感。,问题定义好；若假设透明、校准可核验，会明显更强。,3,67,是,2026-07-31
51,49,智能掌柜,参赛作品,经营电商,B,7.00,7.5,7.5,5.5,美甲/美容/餐饮小微商家看团购与收银、算活动 ROI，场景真实。,批量上传流水/团购/活动 PDF，跨源融合与自研前端，主路径可用。,与掌柜参谋、电商分析助手高度同质，缺少独特经营对象或机制。,垂直本地生活商家没错，但本届同类供给过多，辨识度不足。,93,12,是,2026-07-27
52,50,学情罗盘 EduCompass,参赛作品,教育学习,B,6.97,8.0,6.5,6.0,成绩考勤作业分散、风险学生难以及时发现，是学校刚需。,画像、趋势、预警、周报、干预建议模块齐全，公开材料对数据治理与效果闭环较简。,学情预警是教育信息化常见能力。,场景正确，产品完成度中等，创新一般。,4,58,是,2026-07-27
53,51,析数 · 智能数据分析平台（英文名：Analyx · Intelligent Data Analytics）,参赛作品,通用分析,B,6.97,7.0,8.0,5.5,生活/职场/轻经营 13 场景覆盖广，单个场景深度被摊薄。,表单+上传、联网、分享页、PDF、双语、免登录示例报告，平台完成度高。,从账单工具扩成泛决策平台，能力拼盘感强。,平台型完成度好，产品记忆点弱于垂直打透的作品。,3,78,是,2026-07-21
54,52,资析智策 （资产分析与智能决策 Asset Intelligence & Decision Analytics System）,参赛作品,企业经营,B,6.95,7.5,7.0,6.0,闲置资产、合同临期、处置优先级是企业资产管理真实痛点，工作台定位清楚。,Vue3+Flask、台账到风险清单闭环完整，但默认演示数据与弱口令，距离生产还有距离。,资产健康分+处置清单是成熟管理软件思路，AI 增量主要在解释层。,B 端场景成立，完成度够演示；产品创新中等，更像传统资产系统的 AI 外壳。,40,14,是,2026-07-31
55,53,职牌,参赛作品,求职职业,B,6.95,7.0,6.5,7.5,用市场数据反向诊断职业身份，对迷茫求职者有启发，但行动落地弱于尽调/面试训练。,简历上传到深度报告+去隐私诊断卡，主路径短而完整；模块深度有限。,8 种职牌卡片化、可传播，把诊断做成身份物件，比纯报告更有产品感。,传播物设计出色，作为求职决策工具深度还不够。,32,18,是,2026-07-23
56,54,RepoPulse｜开源项目运营体检,参赛作品,研发生态,B,6.93,7.0,7.5,6.0,开源作者需要看提交/Issue/PR 健康度并得到行动建议，受众明确。,采集 90 天仓库快照、五维评分、7/30/90 天建议、SSE 归因，主路径完整。,GitHub 健康分工具较多，证据+行动周期是加分。,开发者工具扎实，创新中等。,4,62,是,2026-07-21
57,55,智管进销存,参赛作品,经营电商,B,6.90,8.0,7.0,5.0,小店不会算毛利、库存乱，进销存是生存级工具。,看板、NL 查数、单据、盘点、滞销预警、权限与报表，像完整进销存；AI 增量主要在分析层。,传统进销存 + 对话查数，品类非常成熟。,场景分高，创新分被品类成熟度压住。,0,85,是,2026-08-01
58,56,智观天象,参赛作品,生活决策,B,6.90,6.5,8.0,6.0,天气要服务于跑步/出差/农业决策，有价值，但大众天气 App 竞争极强。,预报、生活指数、预警、RAG 助手、ResNet 识图、账号看板，模块多且 Spring AI 接入完整。,「给决策不给 raw data」方向对，功能堆叠大于机制创新。,工程面很满，产品焦点略散，天气赛道难做出差异。,3,70,是,2026-07-27
59,57,智析账本 BillLens,参赛作品,个人财务,B,6.82,7.5,7.0,5.5,账单/流水分析、预算与风险预警是真实需求，个人与轻企业都用得上。,上传分析、可视化报告、PDF、多轮追问与分享具备，但功能清单把个人账本和企业财务分析堆在一起，主路径不够收敛。,典型「上传表格出报告」，缺少独特分析框架或差异化交付物。,能用，但产品定义过宽，更像能力展示册而不是一个打透的财务产品。,313,5,是,2026-07-31
60,58,家居供应链协同平台,参赛作品,供应链,B,6.78,7.5,6.5,6.0,质量异常、延期、库存覆盖、供应商表现是家居品牌供应链真问题。,异常追踪、分派、复验、促销预警、PDF 报告齐全，但明确为模拟数据。,风险协同工作台思路正确，AI 层是快照分析，机制不新。,行业场景成立，演示数据限制了可信完成度。,2,81,是,2026-07-30
61,59,财格-AI犀利点评你的理财性格,参赛作品,个人财务,B,6.65,6.0,7.5,6.5,用轻测试叫醒月光族有传播价值，理财决策深度有限。,三字段出报告、隐私模式、分享卡、降级模板、防刷，消费级体验完整。,毒舌人设和分享卡有增长设计，分析本身浅。,增长型小工具做得圆，不是深度财务产品。,4,61,是,2026-07-21
62,60,脑洞实验室,参赛作品,娱乐实验,B,6.65,5.5,7.0,8.0,思维实验对创作者和教育有趣，但几乎不改变现实高利害决策。,假设结构化、因果链、三条世界线、赢家输家报告，交互完整，风格统一。,把脑洞做成一本正经的科学推演，产品形态鲜明。,创新和完成度明显高于场景价值，是好的体验型作品。,14,32,是,2026-07-30
63,61,食刻｜新手做饭食谱平台,参赛作品,生活决策,B,6.62,7.0,7.0,5.5,冰箱食材匹配、减少浪费、降低新手做饭门槛，生活价值真实但决策利害中等。,搜索、库存匹配、饮食报告、投稿与后台，功能面完整，偏内容社区+轻分析。,智能食谱/冰箱食材匹配是成熟品类，AI 报告是增量不是新品类。,生活向完整应用，创新一般，适合作为消费级辅助而非决策引擎。,35,16,是,2026-07-29
64,62,应用名称 统计分析系统（Statistical Analysis System）,参赛作品,公共数据,B,6.60,6.5,7.5,5.5,宏观指标解读对研究/政策/教学有用，普通用户决策距离较远。,Flask 看板+CLI、SQLite 宽表、口径知识库、世界银行采集、SSE 解读，工程面完整。,宏观统计看板是经典形态，AI 解读是常规增量。,数据工程扎实，产品创新和大众场景价值中等。,6,47,是,2026-07-30
65,63,泡泡看市|小白的股市翻译官,参赛作品,投资理财,B,6.60,6.5,7.5,5.5,A 股小白看懂当日热点有需求，投资决策价值受「仅供参考」强约束。,大盘故事、热力图、Agent 问答，超时兜底与交易时段控制，工程意识好。,AI 看盘/热点翻译是常见形态。,体验完整的入门看盘，产品创新一般。,3,63,是,2026-07-31
66,64,智行路线 RouteWise,参赛作品,旅行规划,B,6.60,6.5,7.5,5.5,自由行比方案、顾预算和动线有需求，但旅行规划极度红海。,三套路线、多维评分、风险与待核验项、任务取消限流恢复，工程完整。,效率/体验/预算三方案对比是常见旅行 AI 结构。,完成度明显好于多数旅游作品，创新不足。,0,87,是,2026-07-31
67,65,群聊气象站,参赛作品,社交观察,B,6.57,6.5,6.0,7.5,观察群互动节奏和话题温度，对社群运营有用，决策强度中等。,产品态度清楚，但公开材料对数据接入、指标定义和输出物写得偏少。,明确不猜关系、不贴标签，只量化群体气象，克制且少见。,概念和价值观出色，产品骨架还需更看得见。,5,53,是,2026-07-28
68,66,ReelSpark：基于短剧剧情的即时互动激发平台,参赛作品,内容增长,B,6.57,6.5,6.0,7.5,短剧运营要在情绪节点做互动、沉淀投放数据，场景垂直。,概念完整，公开材料偏方案，实时视频流解析的可体验程度存疑。,冲突/反转/撒糖节点触发轻互动，不挡观看，想法有行业洞察。,机制有趣，产品完成度还停在接入设想。,2,82,是,2026-07-30
69,67,疲劳驾驶监测,参赛作品,公共安全,B,6.50,7.0,7.0,5.0,疲劳驾驶监测场景重大，但浏览器摄像头方案距离车载落地很远。,规则/深度学习/混合三模式、多用户、公网 HTTPS，CV 链路完整；与数据分析平台结合弱，体验受延迟限制。,EAR/MAR 疲劳检测是经典 CV demo。,技术演示成立，产品形态和本届数据应用主线较远。,0,90,是,2026-07-31
